idEla,tema,concepto,acuerdo,fundamento
3,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,ES la forma en que el pueblo elige su forma de gobierno.
12,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Acordamos elegir Régimen de gobierno.
13,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Régimen de gobierno presidencial; se debe corregir las exageradas atribuciones actuales del presidente y se propone un futuro régimen presidencial democrático y no autoritario con los tres poderes del estado.
20,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,La experiencia del parlamentarismo en Chile fue nefasta. Para la gobernabilidad es fundamental mantener el régimen presidencial.
29,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,es electo democraticamente por el pueblo permite modificarse cada 4 años
35,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Semipresidencial.
46,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,"Regimen Presidencial, como actualmente lo contempla la Constitución."
48,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Si bien existe discusión política, alguien tiene que decidir y ese alguien fue elegido democráticamente: Presidente de la República."
55,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Sin comentarios
57,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,separación de jefe de gobierno y jefe de estado
61,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Contar con una mayor equidad.
68,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Es una Institución que debe tener  Transparencia, Probidad, Control, Fiscalización, Solidez, Contacto y Cercanía con las personas y comunidad y un alto compromiso y vocación de servicio."
78,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Que  los tres poderes del estado continúen siendo independientes y las FF.AA y policías se sometan al poder ejecutivo.
82,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Hay que discutir si el/la presidencia debe tener todas las atribuciones.
95,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Regimen presicencial
101,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Regimen presidencial. Este régimen tiene un arraigo histórico desde el inicio de la República.
110,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Chile no necesita un presidencialismo fuerte de corte Portaliano. El Chile de hoy exige una mayor equivalencia entre el poder legislativo y el ejecutivo. Por ejemplo, en cuanto a las iniciativas de ley."
114,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Creemos que este tema es fundamental discutirlo, y proponemos un tipo de gobierno semi-presidencial, para que no se concentre tanto el poder en el presidente."
117,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"La historia de Chile nos ha enseñado que este sistema nos permite un buen gobierno, y ahora, apoyado con una legislación apropiada y más democrática, respaldada por la ciudadanía, nos dará un mejor gobierno."
133,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,se debe tener un análisis de la autoridad presidencial.
142,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,La forma en que se organiza el gobierno es importante para la constitución como administrador del estado.
143,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,"nuestro régimen presidencial  es un circulo de hierro de lobistas. Un gobierno parlamentario sería mejor y, la elección un camino para resolver problemas de legitimidad política.  Parlamento debería tener más atribuciones e iniciativas pero no ir a otro extremo, debemos ir por uno semi presidencial"
156,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Deberá existir si sí un sistema que permita regular las acciones de gobierno en pro de todos sus ciudadanos.
164,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,"El sistema de gobierno presidencial debería permancer, pero tal vez sería bueno matizar un poco las atribuciones del jefe de estado."
168,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Queremos un régimen semi presidencial, donde se distribuya de forma más equitativa el poder de los tres poderes del estado (legislativo, ejecutivo y judicial)."
169,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,RÉGIMEN PARLAMENTARIO
177,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,"Se postula la necesidad de un régimen semi-presidencial, pero hay divergencias. También se postula que el período presidencial dure 5 años (con reelección)."
178,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Mantener presidencialismo
189,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,El presidencialismo ahoga al resto de las instituciones. El Congreso Nacional debe tener más facultades y compartir responsabilidades con el Ejecutivo en decisiones de interés estructurales para el país.
193,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,No hay fundamentos más allá de la discusión.
202,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Respetando la identidad histórica y política , se debe contar con este tipo de gobiernos nacionales."
206,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Garantiza que tres poderes del estado cumplan con sus funciones en forma autónoma
214,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,Para un gobierno mas eficiente que tome decisiones de manera rápida ( Parlamentarismo).
222,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Presidencial, semi-presidencial o parlamentario. Imprescindible un análisis y discusión sobre las características del régimen, cualquiera que este sea."
228,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,SE TRABAJARON SOLO DERECHOS POR ACUERDO DE LOS PARTICIPANTES
229,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Régimen presidencial en el que haya un jefe de estado y uno de gobierno, para la existencia de más contrapesos en el Ejecutivo."
232,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,"Lo relevante es el desarrollo legislativo de las garantías, puesto que lo que pueda estipular una CPR se realiza a grandes rasgos."
233,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,presidencial
236,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,SISTEMA SEMI PRESIDENCIAL DE UNA SOLA CAMARA: PARA DIVERSIFICAR LA FACULTAD DE QUIENES PUEDEN Y PRIORIDAD LOS CAMBIOS NECESARIOS PARA EL PAIS. Y CON UNA SOLA CÁMARA PARA RESPONSABILIZAR Y AGILIZAR LOS AVANCES EN LAS PRESENTACIONES Y APROBACIONES DE LAS LEYES.
239,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,A,-
245,4,régimen_de_gobierno_presidencial_semi-presidencial_parlamentario,P,Porque el poder se tiene que dividir para poder organizar bien el país.
