idEla,tema,concepto,acuerdo,fundamento
16,1,seguridad,A,"Por que tenemos el derecho de transitar libre y tranquilamente por el país, preservando la vida y los bienes"
24,2,seguridad,A,el estado debe entregar las herramientas a las instituciones que correspondan para que ejerzan
31,1,seguridad,A,seguridad social y pública para los habitantes de nuestra comunidad
46,1,seguridad,A,"Que se garantice seguridad mediante la fuerza pública en cada sector, localidad, vecindario de nuestro país."
54,1,seguridad,A,"Sentirse seguros en la casa, en las calles y poder andar libremente sin miedos. Poder participar en convocatorias pacificas y seguras."
58,1,seguridad,A,se necesita una mayor seguridad para que el pueblo se encuentre mas tranquilo
63,1,seguridad,A,Se debe proveer un estado seguro a  nivel personal como de país.
75,1,seguridad,A,"Educación, salud, trabajo (seguridad, calidad)"
78,1,seguridad,A,Es la base del bienestar común.
89,1,seguridad,P,La constitución nos debe entregar seguridad de vivir en un país libre y democratico.
104,1,seguridad,P,"Es importante que nos desarrollemos en un ambiente seguro y sentir tranquilidad. Acuerdo parcial porque la justicia, si es real, incluye o conlleva el sentimiento de seguridad."
110,1,seguridad,A,"Los chilenos tenemos el derecho de vivir en paz, y debemos asegurar que todos los ciudadanos colaboren en crear un clima de seguridad y armonía."
115,1,seguridad,A,Por que es fundamental para vivir seguros y tranquilos
117,1,seguridad,A,Para la tranquilidad de la población. Que cada uno pueda trabajar tranquilo en su rol que ha elegido y por la familia. Que sean rehabilitados los que delinquen. Que las instituciones u organismos de seguridad sean efectivos.
118,1,seguridad,A,El estado debe entregar seguridad y paz a las personas. Seguridad a la inversión.
129,1,seguridad,A,Derecho a estar protegido en la vía pública como en los hogares
130,1,seguridad,A,Vivir tranquilos como país para estar con bienestar y en confianza.
131,1,seguridad,A,Es deber del estado la seguridad de los chilenos. Esto es fundamental para una convivencia tranquila.
159,1,seguridad,A,seguridad social
162,1,seguridad,A,Fomentar el desarrollo de leyes que preeven la seguridad del ciudadano y castigando duramente a los delincuentes sin discriminar por su estrato social.
220,1,seguridad,A,El Estado debe velar por la paz social y debe proteger a todas las personas.
226,1,seguridad,A,"Hoy en día no queremos salir de casa y si lo hacemos estamos pensando todo el día en que ojalá nadie nos robe, en la calle tampoco estamos seguros, se roban los vehículos, asaltan las empresas, no estamos tranquilos en ninguna parte."
238,1,seguridad,A,hay mucha falta de seguridad en las calles para las personas.
242,1,seguridad,A,"Solución de los problemas de los habitantes, seguridad personal y de los bienes."
245,1,seguridad,A,"Todos merecemos seguridad, y sobre todo que nos protejan."
259,1,seguridad,A,Garantizar la integridad física-emocional-social y económica ; considerando la correspondiente  educación del tema y a la vez la fiscalización que se encargue de regularlo.
274,1,seguridad,A,La seguridad para vivir tranquilos. Que se termine la delincuencia.
280,1,seguridad,A,"Seguridad social, publica y privada. Mayor protección por parte de carabineros."
291,3,seguridad,A,Deber del Estado de garantizar la seguridad individual. No es posible que las personas honradas no puedan salir tranquilas de sus casas luego de que empieza a atardecer. El Estado debe garantizar la paz social.
298,1,seguridad,A,"- Mejor manejo de la justicia ante la delincuencia u otro actos que atenten - Resguardo de la población - Vulnerabilidad de la persona (mejor calidad de vida) - Estado de preocupe de la la integridad de la personas( en lo laboral, familiar, social, comunitartia y catastrófe natural)"
302,1,seguridad,A,"El Estado debe ser garante de la seguridad de todos los ciudadanos, encargándose de la lucha contra la delincuencia y resguardo del bienestar de las personas."
310,1,seguridad,A,Se considera que es un valor ausente en actualidad de nuestra sociedad que le quita tranquilidad a nuestra vida.
317,1,seguridad,A,seguridad de los derechos sociales: salud y educación y seguridad policial para un barrio más seguro
326,1,seguridad,P,Mejorar la seguridad abordando desde la base las causas que la originan. Crear leyes mas drásticas y ejecutadas eficientemente.
338,1,seguridad,A,"La seguridad de la población debe lograrse mediante normas efectivas y eficaces, mas que sancionatorias, que miren a la rehabilitación y reinserción, a la sanción efectiva del sector mas poderoso que denigra la calidad de vida de las personas."
363,1,seguridad,A,No tenemos seguridad en nuestro país.
371,1,seguridad,A,INSEGURIDAD PERSONAL Y POLÍTICA
386,1,seguridad,A,"La seguridad da un sustento muy importante para la constitución, ya que es primordial poder vivir sin miedo en el lugar que nos rodea."
396,1,seguridad,A,se debe regresar a la tranquilidad de vivir en paz
411,1,seguridad,A,"Falta dotación en las instituciones de carabineros y PDI, incentivar y facilitar a los jóvenes para que entren a estas instituciones, con el fin de tener mayor seguridad en el País."
414,1,seguridad,P,"Necesaria de resguardar ante el contexto actual, con el fin de hacer comunidad."
421,1,seguridad,A,Se necesita seguridad ya que nos sentimos inseguros.
428,1,seguridad,A,Que las autoridades hagan buenas leyes para no tener miedo y vivir en paz.
430,1,seguridad,A,"PRINCIPIO QUE BUSCA QUE TODO HABITANTE DE ESTE PAÍS, PUEDA VIVIR Y ESTAR TRANQUILO EN CUALQUIER LUGAR EN QUE SE ENCUENTRE."
442,1,seguridad,A,más protección.
447,1,seguridad,A,como valor de base para una vida tranquila
450,1,seguridad,A,"Las internas señalan que la Constitución debiera garantizar la seguridad de las personas en todo ámbito. Señalan que se sienten desprotegidas dentro y fuera del recinto penitenciario (ausencia de derechos sociales, falta de protección hacia ellas por parte de las instituciones de seguridad pública"
459,1,seguridad,A,seguridad integral que aborde todas las áreas del ser humano
465,1,seguridad,A,"LA SENSACIÓN DE INSEGURIDAD QUE PERCIBIMOS Y QUE LOS MEDIOS DE COMUNICACIÓN ACENTÚAN, DEBIERA SUPERARSE Y ES NECESARIA PARA LA INTERACCIÓN SOCIAL."
469,1,seguridad,A,"falta de seguridad, por miedo o peligro o agresión, asaltos, etc"
476,1,seguridad,A,hoy en dia no hay politicas que mejoren la seguridad social (ejemplo las AFP) asi como tambien la seguridad ciudadana (ejemplo la delicuencia)
514,1,seguridad,P,Mas autoridad a la fuerza pública.
535,1,seguridad,P,es una obligación del estado darle seguridad a sus ciudadanos.
566,1,seguridad,A,es de vital importancia sentirse seguro en su ciudad. la violencia es algo preocupante
567,1,seguridad,A,Que como chilenos necesitamos estar y andar seguros de salir a la calle y nuestros hogares.
574,1,seguridad,A,Porque queremos garantizar la estabilidad física y moral de las personas y su entorno
595,1,seguridad,A,"No se garantiza la seguridad personal con la información privada ya que cualquier sistema público puede manipular la información, ya sea rut, dirección, nombre completo, etc.. Además de la seguridad callejera y en la vía pública."
602,1,seguridad,A,"TODOS TENEMOS QUE ESTAR SEGUROS, SOBRE TODO EN EL TEMA DE LA DELINCUENCIA, NECESITAMOS UN ESTADO PROTECTOR."
611,1,seguridad,A,Principio elegido por asistentes
613,1,seguridad,A,mucha colusion de las policías con ladrones
615,1,seguridad,P,"Es importante de manera que las personas vivan en un país sin miedos, ante la delincuencia, enfermedad, pobreza."
641,1,seguridad,A,"La seguridad sea para todos y no para los que no tenemos nada, los pueblos originarios y las localidades  no existe seguridad ya que las policías no acceden a las localidades indígenas."
665,1,seguridad,A,Desde el punto de vista de sentir tranquilidad para ejercer nuestros derechos y responsabilidades sin el temor de ser perseguidos por ello.
666,1,seguridad,A,Por ser un principio básico para la convivencia en democracia.
675,1,seguridad,A,"Nada mas tranquilo que caminar y dormir tranquilo, para el bien de toda la comunidad."
688,1,seguridad,P,nos referimos a la seguridad del ambito delictual
694,3,seguridad,A,"Es deber del Estado,garantizar la seguridad de todos y cada uno de sus habitantes."
704,1,seguridad,A,Porque nos sentimos desprotegidos y vulnerables.
710,1,seguridad,A,Seguridad para todos sin escepción.
721,1,seguridad,A,Que el Estado garantice la seguridad ciudadana basada en el estado de derecho. Que el Ministerio de Justicia actúe con real eficacia.
745,1,seguridad,P,Importante para poder opinar y sentirse seguro de lo que cada uno piensa.
775,1,seguridad,P,Mayor protección Civil
805,1,seguridad,A,POR QUE NO SE PUEDE VIVIR INTRENQUILO
820,1,seguridad,A,Para vivir en tranquilidad de nuestras posesiones e integridad fisica
822,1,seguridad,A,"Porque queremos una mayor seguridad en todas las áreas: ejemplo: social, laboral, salud, educacional, entre otros."
824,1,seguridad,A,"Estamos en tiempos en que ya no nos sentimos seguros ni en nuestras propias casas, esto es llegar al extremo. Somos un país que vivimos con el miedo constante en todo ámbito por la delincuencia, que cada vez a ido creciendo, necesitamos que las leyes sean más estrictas y por sobretodo CUMPLIDAS."
851,1,seguridad,P,Lograr vivir seguros Mejorar los sistemas de re inserción social. Mejorar las leyes y sanciones Entregar mayores atribuciones a la policía.
867,1,seguridad,A,"Proteger a los ciudadanos  de las catástrofe, delincuencia y corrupción de las autoridades y empresa privada"
883,1,seguridad,A,Para vivir en forma segura.
885,1,seguridad,A,"Importancia de garantizar el derecho a la protección, tanto en el ámbito interno como externo."
903,1,seguridad,A,no se puede proyectar
913,1,seguridad,A,que el gobierno garantice la protección de todos.
917,1,seguridad,A,SENTIRSE SEGURO TIENE UN VALOR  INCALCULABLE QUE HAY QUE DIMENSIONAR.
918,1,seguridad,P,10 en desacuerdo Para vivir y movilizarse sin miedo a los demas o al entorno.
929,1,seguridad,P,"En todo el país, debe existir seguridad, como princio de carácter permanente e importante"
929,3,seguridad,A,En función al apoyo y cuidado de nuestros pares en la sociedad.
936,1,seguridad,A,"El encuentro local concluye que la seguridad debe ser un valor/principio de la nueva constitución, desde l perspectiva de la seguridad humana, está es asegurar la protección del ser humano de acuerdo a un marco jurídico que el estado debe proporcionar."
938,1,seguridad,A,MÁS SEGURIDAD PARA LAS PERSONAS EN ESPECIAL EN LA VÍA PÚBLICA.
956,1,seguridad,A,"ES LA PRINCIPAL FUNCIÓN DEL ESTADO,  RESGUARDAR LA SEGURIDAD DE LOS CIUDADANOS Y DE SU PATRIMONIO."
956,2,seguridad,A,DERECHO DE VIVIR TRANQUILO.
959,3,seguridad,A,No hay fundamento
1005,1,seguridad,A,La seguridad es un pilar fundamental para garantizar la calidad de vida de sus habitantes
1019,1,seguridad,A,El sistema penal es malo la detención por sospecha se presta a la descriminación los países que lo han aplicado no han bajado la delincuencia
1025,1,seguridad,A,Seguridad para todos los chilenos por igual.
1088,1,seguridad,A,"Es importantísimo sentir  la protección del estado y que garantice la  seguridad personal, sin importar  donde estemos, no deberíamos tener miedo de caminar por la calles o de tener que encerrarnos con rejas en casa."
1090,1,seguridad,P,Seguridad para la ciudadanía y tranquilidad en las calles a toda hora del día.
1095,1,seguridad,A,Que se respete la institucionalidad. La participación debe ser generada con respeto.
1105,1,seguridad,A,que el estado garantice al ciudadano comun la seguridad y la proteccion en delitos tanto economico como delectuales y que no se le de mas seguridad a las empresas privadas politicos y gente de clase alta
