idEla,tema,concepto,acuerdo,fundamento
1018,1,seguridad_social,A,"Las personas necesitan seguridad, pero más que un simple resguardo policial, las personas necesitan la seguridad de tener  una pensión de jubilación digna y un plan de salud decente, para saber que en caso de necesidad se encuentran protegidas."
1263,2,seguridad_social,A,que sea el estado el encargado de administrar y entregar las prestaciones asegurando acceso universal a fondos de pensiones en manos del estado
2498,2,seguridad_social,A,"Trabajo, salud, vivienda, jubilación"
3371,1,seguridad_social,A,"Mas alla de la seguridad ante delitos se impone la seguridad a la vida digna, con la posibilidad de garantizar las necesidades básicas de la población, basado en los principios de bien común y solidaridad."
3694,2,seguridad_social,A,"Derecho que asegura la asignación de prestaciones sociales básicas que aseguren el bienestar de la población, tales como previsión social y seguro de cesantía."
3752,2,seguridad_social,A,El Estado debe garantizar un sistema social y de jubilación digna para trabajadores y dueñas de casa.
3817,2,seguridad_social,A,"La seguridad no es solo que hayan polícias rondando por las calles, es importante una seg de carácter social, que luche contra las injusticias que se comenten a diario, que ataque los abusos, y proteja a sus ciudadanos, en temas como trabajo, vivienda, salud, educación, etc."
3843,2,seguridad_social,A,"Supone garantizar desde el estado condiciones de atención e ingresos justos y suficientes en situaciones de jubilación, desempleo, invalidez y otros contextos de desprotección."
4459,1,seguridad_social,A,"Garantizando derechos, entregando seguridad en educación, salud, previsión social y otros."
4585,2,seguridad_social,A,"Que el Estado garantice el  bienestar social a través de la protección social en las necesidades de  salud, vejez y/o discapacidades."
4729,2,seguridad_social,A,"Elementos básicos que garantizan bienestar, como el trabajo, la vivienda, pensiones dignas."
4976,2,seguridad_social,A,"Que se garantice el derecho equitativo e igualitario en temas esenciales como la salud, educación, vivienda, trabajo y pensiones adecuadas."
5405,2,seguridad_social,A,.
5462,1,seguridad_social,A,"La seguridad social se entiende como una seguridad en todos los niveles, vivienda, salud, educaicón, empleabilidad, entre otros, de esta manera se garantiza un nivel de estabilidad minimo para toda la población. Además bajarían los niveles de violencia en los que estamos inmersos."
5539,1,seguridad_social,A,La sociedad debe ser responsable por la seguridad social de sus habitantes y entregar una red de apoyo solidaria
5640,2,seguridad_social,A,"Derecho indispensable despues de una vida de trabajo, no puede condenarse a los adultos mayores a la pobreza"
5661,2,seguridad_social,A,es necesario
6651,2,seguridad_social,A,"Abordado desde el nacimiento de la persona, el cual debe involucrar directamente: protección, vivir sin violencia, integridad física y psíquica"
6997,2,seguridad_social,A,Un estado que resguarde las condiciones de vida a los ciudadanos en cualquier etapa de su vida.
7407,1,seguridad_social,D,"El estado debe asegurar la tranquilidad de los ciudadanos ante la adversidad y el peligro en materia social. Existe desacuerdo respecto a la acepción de seguridad como control policial, existiendo opiniones diversas al respecto."
8717,2,seguridad_social,A,"Conjunto de elementos que componen la protección de social: salud publica, seguros de accidentes, pensiones y jubilaciones dignas, integración por capacidades diferentes (diversidad funcional e intelectual)."
8820,1,seguridad_social,A,seguridad social
9397,1,seguridad_social,A,"El Estado debe ser proveedor y garante de salud, educación, previsión social, vivienda, trabajo, vejez digna y de la protección y recreación de las personas de manera irrenunciable e intransferible."
9619,2,seguridad_social,A,"Sistema de seguridad social Estatal, con criterios solidarios que aseguren pensiones buenas para todos y acceso universal y gratuito a la salud."
9689,4,seguridad_social,P,Una institución responsable por las soluciones de sistemas de pensiones.
10587,2,seguridad_social,A,BIENESTAR MÍNIMO PARA LA POBLACIÓN Y CALIDAD DE VIDA
10719,4,seguridad_social,A,"Una institución dentro del aparato estatal que garantice y vele por las pensiones y seguridad social tras la jubilación, no como una AFP estatal, sino como la  caja u otros sistemas estatales existentes en el pasado."
10903,2,seguridad_social,A,"Previsión verdadera; no más afp, Educación gratuita y digna, al igual que en la salud."
11509,2,seguridad_social,A,"El Estado proporciona y asegura a sus ciudadanos por causa de enfermedad, maternidad, accidente de trabajo, o laboral, desempleo, invalidez, vejez y muerte, protección y cuidado en forma de asistencia médica y ayuda a sus familias con hijos."
12528,2,seguridad_social,A,"El Estado debe garantizar el acceso de todos los ciudadanos a los servicios básicos, uniformados por el costo de la vida de la sociedad. Estos servicios deben ser constituidos en base a la dignidad que merecen los servicios humanos y deberán ser financiados a través de las contribuciones de todos l"
12950,2,seguridad_social,A,"Resguardo constitucional de Seguridad Social con sistema solidario, equitativo y justo. Garantía de pensiones dignas para todos, independiente del tipo de trabajo y contrato realizado durante vida activa:honorarios, independientes, d. de casa, artistas, artesanos, pescadores, temporeros, etc No+AFP"
13279,1,seguridad_social,A,Generación de mecanismos para garantizar la seguridad y el bien común.
13279,2,seguridad_social,A,"Vivienda, trabajo, jubilación, como aspectos básicos que muestran además el crecimiento del país."
13951,2,seguridad_social,A,"Proteccion para todos los chilenos en terminos de pensión, salud, etc."
14111,1,seguridad_social,A,"Decidimos agregar la palabra ""social"", pues seguridad es la ausencia de riesgos y no sólo se debe privilegiar una seguridad ciudadana, sino social en el sentido de un Estado que garantice el goce de prestaciones básicas de una sociedad."
14643,2,seguridad_social,A,Se comenta que más del 90% de las pensiones por jubilación actualmente ascienden a $140.000 aporro. mensualmente
14696,2,seguridad_social,A,"Es obligación del Estado: protección a las condiciones básicas que estos merecen en donde, sin ser taxativos, vemos que debe preocuparse de la  gratuidad y la calidad de los derechos: salud, atención médica y de vejes, rehabilitación, pensiones, trabajo, vivienda, pers. en situación de discapacidad"
15252,2,seguridad_social,P,"El Estado debe garantizar el acceso a una protección social íntegra del individuo en sociedad, compartimos la definición que propone la OIT que asegura el acceso a la asistencia médica para todos, en particular en situaciones de vulnerabilidad, como: vejez, enfermedad, invalidez, desempleo."
