idEla,tema,concepto,acuerdo,fundamento
29,2,ser_elegido_en_cargos_públicos,A,que todo ciudadano pueda tener acceso a los cargos dependiendo de sus capacidades y no poder temas politicos
86,2,ser_elegido_en_cargos_públicos,A,"Espacio para todos y todas y no cuoteos, poner énfasis en las competencias blandas y duras, experiencia, años de servicio, concursos limpios y conocidos, salvaguardando los cargos de confianza de la autoridades e turno."
169,2,ser_elegido_en_cargos_públicos,A,PARA TODOS LAS PERSONAS INCLUYENDO A DIRIGENTES SINDICALES.
265,2,ser_elegido_en_cargos_públicos,A,Independiente de su condición social y adherencia a partidos políticos.
389,2,ser_elegido_en_cargos_públicos,A,"La nueva Constitución no debe exigir a los dirigentes sindicales renunciar a sus cargos para participar en cargos de elección popular, pues esa exigencia atenta contra la igualdad ante la ley y resulta arbitraria ya que no es exigida a dirigentes gremiales empresariales"
422,2,ser_elegido_en_cargos_públicos,A,es fundamental el derecho al sufragio como parte fundamental de la democracia y el estado de derecho
462,2,ser_elegido_en_cargos_públicos,A,Tener cupos para los Pueblos Originarios a ejercer cualquier cargo publico con independencia de los partidos políticos.
482,2,ser_elegido_en_cargos_públicos,A,Que cargo publico tengan una adecuada descripción y los requisitos a los postulantes estén de acuerdo con la labor a realizar
486,2,ser_elegido_en_cargos_públicos,A,"• TODOS PUEDEN SER ELEGIDOS, TAMBIEN LOS DIRIGENTES SINDICALES."
562,2,ser_elegido_en_cargos_públicos,A,"Derecho de igualdad antes los cargos públicos, en relación a sus capacidades profesionales e individuales."
682,2,ser_elegido_en_cargos_públicos,A,Que toda persona que tenga representatividad en la comunidad logre participar en concursos o votaciones a cargos públicos.
700,2,ser_elegido_en_cargos_públicos,A,Que las mujeres tengan más representatividad  en los cargos públicos sin discriminación por la sociedad.
762,2,ser_elegido_en_cargos_públicos,A,Todas los ciudadanos debemos tener la posibilidad de acceder a los cargos públicos.
824,2,ser_elegido_en_cargos_públicos,A,"Que cualquier ciudadano pueda optar a cargos públicos, si se poseen las capacidades o aptitudes, y no depender de pertenecer a un partido político, o el nepotismo que existe actualmente."
1180,2,ser_elegido_en_cargos_públicos,A,.
1185,2,ser_elegido_en_cargos_públicos,D,Un voto a favor.
1229,2,ser_elegido_en_cargos_públicos,P,"ES UN DERECHO ELEGIR POR MÉRITO A CADA PERSONA EN UN CARGO PÚBLICO. NO POR PARTIDOS POLÍTICOS, NI POS CLASE SOCIAL NI POR FAMILIAS (NEPOTISMO). SINO POR ELECCIÓN EN VOTACIÓN, QUE TENGAN UN SOLO CARGO PÚBLICO Y QUE ESTE REPRESENTADO CADA ESTAMENTO SOCIAL."
1258,2,ser_elegido_en_cargos_públicos,A,Revocar a todos los cargos de elección popular por casos de corrupción.
1325,2,ser_elegido_en_cargos_públicos,A,TODOS LOS CIUDADANOS TENGAN DERECHOS A PARTICIPAR EN LOS CARGOS PUBLICOS
1610,2,ser_elegido_en_cargos_públicos,A,"derecho a carrera funcionaria, elegida mediante concursos públicos"
1639,2,ser_elegido_en_cargos_públicos,A,Derecho a elegir y a ser elegido. Eliminar restricción a dirigentes sociales.
2218,2,ser_elegido_en_cargos_públicos,A,Que se elimine la exigencia a los dirigentes sindicales a renunciar a sus cargos para acceder a cargos de elección popular por ser una medida discriminatoria.
2288,2,ser_elegido_en_cargos_públicos,A,tener la oprtunidad de ser elegido a todo nivel.
2352,2,ser_elegido_en_cargos_públicos,A,Pero solo poder participar de una sola reelección como máximo.
2397,2,ser_elegido_en_cargos_públicos,A,Que los dirigentes sindicales puedan ser candidatos a cargos públicos sin renunciar a su calidad de dirigente sindical
2399,2,ser_elegido_en_cargos_públicos,A,"No puede ser un privilegio de la elite, pues un dirigente social también tiene derecho a ser elegido en cargos públicos pues tienen más cercanía a la realidad del pueblo"
2426,2,ser_elegido_en_cargos_públicos,A,"El estado debe ser promotor en procurar la participación de todos en la construcción del país, y junto con promover esta  participación debe garantizar que estas sean vinculantes"
2567,2,ser_elegido_en_cargos_públicos,A,"Concepto de igualdad, todas las personas cuentan con los mismos derecho y garantías"
3026,2,ser_elegido_en_cargos_públicos,A,Igualdad de candidaturas independientes con respecto a las de representación de partidos Escaños reservados para representatividad de los Pueblos Originarios en diferentes cargos públicos
3126,2,ser_elegido_en_cargos_públicos,A,Que todos los ciudadanos tengan derecho a postular a cargos publicos  por competencias y por compromisos politicos
3154,2,ser_elegido_en_cargos_públicos,A,Que todo individuo pueda ser elegido
3194,2,ser_elegido_en_cargos_públicos,P,tener la misma oportunidad y apoyo que todos los ciudadanos a cargos.
3242,2,ser_elegido_en_cargos_públicos,A,"aquellos que sean dirigentes sociales, o no posean alguna profesión tengan el mismo derecho a postular a cargos públicos, como diputados, ministros, intendentes, etc."
3248,2,ser_elegido_en_cargos_públicos,A,"idóneo , con compromiso y consecuencia, además de lealtad al gobierno"
3372,2,ser_elegido_en_cargos_públicos,A,Los ciudadanos que sean susceptibles de ser elegidos para ocupar cargos públicos deben cumplir con un perfil idóneo y moral.
3378,2,ser_elegido_en_cargos_públicos,A,porque incluye los derechos a participacion e igualdad ante la ley y el derecho a elegir y ser elegido
3508,2,ser_elegido_en_cargos_públicos,A,"igualdad de acceso, tanto para dirigentes sociales o personas particulares."
3596,2,ser_elegido_en_cargos_públicos,P,mayor participación ciudadadna
3618,2,ser_elegido_en_cargos_públicos,P,Los dirigentes sindicales deben tener los mismos derechos a ser elegidos en cargos públicos.
3826,2,ser_elegido_en_cargos_públicos,A,"Todas las personas de nuestro país deben tener derecho a ocupar y acceder a cargos públicos (profesionales y técnicos) que el factor político no prevalezca por sobre las capacidades, conocimientos y experiencias de las personas, y que esta mala practica sea penalizada y sancionada."
4047,2,ser_elegido_en_cargos_públicos,A,Derecho a ser elegido sin excepción. Esto incluye a la comunidad chilena en el exterior que debe estar representada  en el poder legislativo. Derecho a la participación decisoria – vinculante de la  población.
4113,2,ser_elegido_en_cargos_públicos,A,"Todo ciudadano elegido, debe respetar y cumplir con el programa que ofrecio a su gente.-"
4341,2,ser_elegido_en_cargos_públicos,A,"Eliminar las restricciones para elejir y ser elegido y dejar solo aquellos casos que tribunal competente suspenda el derecho ciudadano o civico a este nivel , eliminar el impedimento a Sindicatos y otros similares para ser electos por voto popular a cargos electivos ."
4371,2,ser_elegido_en_cargos_públicos,A,"Si se tiene derecho a sufragio, a elegir,  se debe tener el derecho a ser elegido."
4435,2,ser_elegido_en_cargos_públicos,A,"Pero con sueldos de acuerdo al mercado para que la motivación sea el ""manoseado servicio público"" y no una forma fácil de ganar plata. ¿Qué pasaría si el concejal o el consejero sean cargos ad honorem, como los directivos de las juntas de vecinos, habría tanto interés por el cargo?"
4759,2,ser_elegido_en_cargos_públicos,A,"No solo los políticos deben tener una oportunidad, sino la gente que vive desde sus propias vivencias"
4768,2,ser_elegido_en_cargos_públicos,A,Todos podemos ser elegidos en cargos públicos a través de votos .
4792,2,ser_elegido_en_cargos_públicos,A,Igualdad al acceso de los cargos públicos e igualdad impositiva respecto a sus ingresos.
4915,2,ser_elegido_en_cargos_públicos,A,PARA UNA SANA CONVIVENCIA TODOS LOS CHILENOS TIENEN DERECHO A PARTICIPAR DE CUALQUIER ESCRUTINIO PUBLICO EXCEPTO PERSONAS CON PROBLEMAS ETICOS Y MORALES
5036,2,ser_elegido_en_cargos_públicos,A,"Aumentar las exigencias para quienes postulen a cargos públicos y para quienes los vayan a ocupar definitivamente. Un requisito indispensable es la exigencia de que, en los casos de cargos de elección popular, los candidatos posean un vínculo demostrable con la comunidad a la cual representan"
5192,2,ser_elegido_en_cargos_públicos,A,Todo ciudadano de nuestro país debe tener derecho a ser electo a cualquier cargo publico. acuerdo
5239,2,ser_elegido_en_cargos_públicos,P,"Toda persona tiene derecho a ser elegido en cargos públicos por méritos y capacidades propias, sin intervención de terceros interesados."
5284,2,ser_elegido_en_cargos_públicos,A,CONSIDERAR LAS COMPETENCIAS NECESARIAS Y LA EXPERIENCIA EN PARTICIPACION CIUDADANA Y GESTION COMUNITARIA.
5678,2,ser_elegido_en_cargos_públicos,A,"Con educación superior,"
