idEla,tema,concepto,acuerdo,fundamento
12,3,servicio_a_la_comunidad,A,"Este deber es fundamental, ya que como sociedad es muy bajo el trabajo que se hace en torno a la comunidad, debemos formar personas que presenten servicios a los demas, generando conciencia por las dificultades del prójimo."
13,3,servicio_a_la_comunidad,A,"Participación en las  juntas de vecinos, etc.,"
14,3,servicio_a_la_comunidad,A,Todo ciudadano se debe comprometer a realizar servicio comunitario.
16,3,servicio_a_la_comunidad,A,Establecer normas de convivencia y lugares de sano esparcimiento y de tranquilidad
17,3,servicio_a_la_comunidad,A,"Ayudarnos entre todos y formar así un sociedad solidaria que no discrimina, sino que apoya a sus compatriotas."
33,3,servicio_a_la_comunidad,A,"comprometernos con la comunidad a hacer el bien común, cuidar y también proteger lo que se nos entrega. (plazas, parques, canchas, etc.)"
46,3,servicio_a_la_comunidad,A,.
48,3,servicio_a_la_comunidad,A,Pensamos en el servicio a la comunidad como una sanción en caso de infracción de una norma.
54,3,servicio_a_la_comunidad,A,Es importante que todos ayudemos y tengamos presente el servicio a la comunidad como un deber cívico como apto de solidaridad y compromiso con nuestro país.
56,3,servicio_a_la_comunidad,A,Porque si todos somos de la comunidad debemos todos ayudarlas y preservarla
59,3,servicio_a_la_comunidad,A,"Entendemos la responsabilidad que tenemos las personas frente a la comunidad. Proponemos que frente a cualquier falta o delito leve, que  las personas  realicen trabajo comunitario o servicio a la comunidad, donde genere aprendizajes y cambios al ser humano."
61,3,servicio_a_la_comunidad,A,"Entregar y traer la información de una mejor manera, ya que no todos cuentan con conocimiento tecnológico."
68,3,servicio_a_la_comunidad,A,"Se fundamenta por la importancia de hacer vecindario, relacionarnos, conocernos, protegernos, cuidar nuestros espacios y entornos. Haciendo servicio a la comunidad  mejora nuestra calidad de vida y nuestro sentido de pertenencia."
74,3,servicio_a_la_comunidad,A,- Necesaria retribución al tejido social que permite gozar de derechos y bienestar. - Genera sentido de la vida en comunidad.
75,3,servicio_a_la_comunidad,A,Dirigentes sociales- voluntariados
77,3,servicio_a_la_comunidad,A,Este deber que fue escogido en coherencia con el énfasis puesto por el grupo en la importancia del bien común y la participación activa de la comunidad.
79,3,servicio_a_la_comunidad,A,"Es un fundamento de la sociedad apuntar al bien común, es la forma más sustentable demostrada. Es el sentido en si mismo."
81,3,servicio_a_la_comunidad,A,sin comentarios
82,3,servicio_a_la_comunidad,A,Por una Sociedad mas solidaria debe haber servicio social no remunerado.
106,3,servicio_a_la_comunidad,P,El servicio a la comunidad es tarea de todos y se debe representar en reproducir los valores cividos que contenga la nueva constitución. La comunidad se sirve de todos para que todos podamos servirnos de ella.
107,3,servicio_a_la_comunidad,A,"Es muy importante que se contribuya a la generosidad en la comunidad, ser solidario, ayudar a quienes más lo necesiten."
110,3,servicio_a_la_comunidad,A,Los ciudadanos tienen la responsabilidad de hacerse cargo de su entorno y solidariamente servir y colaborar con la comunidad donde nos toca vivir.
112,3,servicio_a_la_comunidad,A,"HACERNOS RESPONSABLES DE NUESTRO ENTORNO, COLABORAR"
114,3,servicio_a_la_comunidad,A,Porque creemos que debemos orientar nuestra conducta al bien común.
115,3,servicio_a_la_comunidad,P,Sin esto no hay base y sin base no hay desarrollo
124,3,servicio_a_la_comunidad,A,.
125,3,servicio_a_la_comunidad,A,Retribuir a la comunidad para contribuir al bien común.
130,3,servicio_a_la_comunidad,A,Deber de ayudar a otros siempre que se pueda.
