idEla,tema,concepto,acuerdo,fundamento
111,2,sexuales_y_reproductivos,A,Las mujeres han tenido que soportar mucha violencia por no poder ejercer su libertad a decidir sobre su cuerpo. Derecho al placer y a la reproducción libre.
205,2,sexuales_y_reproductivos,P,"-Las personas son libres para decidir, en términos personales, su vida sexual y reproductiva, sin imposiciones ni limitaciones ni discriminaciones de ningún tipo  -Posición minoritaria: El aborto en cualquier caso debe prohibirse. P mayoritaria: Estado debe determinar un límite temporal para abortar"
213,2,sexuales_y_reproductivos,A,"Hoy se pasan a llevar. Si no están consagrados en la constitución, no va a existir ejercicio libre y respetuoso de estos derechos."
255,2,sexuales_y_reproductivos,A,"Garantizar el derecho a vivir una sexualidad plena, placentera, autónoma, libre de violencia, riesgos y enfermedades, informada  y amparada en los convenios internacionales.  Reconocer las distintas formas de expresión y modelos de familia."
510,2,sexuales_y_reproductivos,A,"Derecho a vivir una vida sin violencia. Niñas, niños y adolecentes, en Diversidad Sexual. Derecho a decidir"
699,2,sexuales_y_reproductivos,A,"Establecer parámetros desde donde la privacidad de las personas e intimidad son resguardados por el estado, incluyendo el derecho que tienen las personas  a la diversidad sexual,  expresión  de la sexualidad,  tomar  decisiones sexuales y reproductivas  sin coerción, incluida la maternidad voluntaria"
1314,2,sexuales_y_reproductivos,P,A hombres y mujeres se les debe garantizar sus opciones reproductivas. En cuanto al aborto sólo la mujer debe decidir si aborta o no.
1611,2,sexuales_y_reproductivos,A,"Derecho a la protección sexual, acceso a la anticoncepción, aborto justificado y ejercicio de la sexualidad, protegiendo la diversidad."
1641,2,sexuales_y_reproductivos,A,.
2214,2,sexuales_y_reproductivos,A,Asegurar el derecho que todas y todos tenemos sobre nuestros cuerpos. Libertad para decidir sobre la decisión de reproducirse. No criminalizar los diferentes tipos de opciones sexuales.
2241,2,sexuales_y_reproductivos,A,"Que contemple y garantice, entre otros, el derecho al aborto, independiente de cual sea la causal."
2668,2,sexuales_y_reproductivos,A,"Educación sobre esto; la autodeterminación del propio cuerpo; tener Derecho sobre tu mismo cuerpo (esterilización, aborto, etc.); libertad de conciencia."
2913,2,sexuales_y_reproductivos,A,"LIBRE DERECHO DE ORIENTACIÓN SEXUAL, DERECHO A NO PROCREAR SIN DISCRIMINACIÓN."
3035,2,sexuales_y_reproductivos,A,"El Estado debe garantizar a todo ciudadano el legítimo derecho y respeto a las decisiones individuales que cada uno tome, en todos los ámbitos que involucran estas materias."
3139,2,sexuales_y_reproductivos,P,"Reconocer el d. a la opción sexual, el d. de la mujer sobre su cuerpo en materia reproductiva, el d. al matrimonio entre las personas del mismo sexo. Un asistentes enfatiza que ello se haga con respeto al derecho a la vida del que está por nacer y diferencia sobre el uso del concepto de matrimonio."
3553,2,sexuales_y_reproductivos,A,Derechos sexuales y reproductivos y a la soberanía sobre el cuerpo. Se trata de derechos fundamentales para superar la lógica del poder y la imposición externa a las personas y sus decisiones libres y responsables.
4231,2,sexuales_y_reproductivos,A,Autonomía y respecto a las decisiones.
4846,2,sexuales_y_reproductivos,A,"Porque son derechos que deben ejercerse con autonomia y libertad, y en igualdad de condiciones para todos y todas."
4863,2,sexuales_y_reproductivos,A,"Derecho al aborto libre seguro y gratuito, sexualidad libre, elegida, autónoma, libertad de decidir sobre nuestros cuerpos, corresponsabilidad en el cuidado de la fertilidad, educación sexual laica y no sexista, maternidad voluntaria, protección a la salud sexual y reproductiva."
4951,2,sexuales_y_reproductivos,A,"Maternidad voluntaria, legalización de aborto, educación sexual en todos los niveles de educación."
5403,2,sexuales_y_reproductivos,A,"Corresponsabilidad social y de género en todas las labores, derechos de decisión sobre el cuerpo e identidad sexual."
5550,2,sexuales_y_reproductivos,A,"Poder decidir sobre nuestro cuerpo. Incluyen el derecho que tienen las personas a la privacidad e intimidad, a la diversidad sexual, a la educación sexual, a la expresión de las sexualidades, a tomar decisiones sexuales y reproductivas sin coerción incluida la maternidad voluntaria, el placer sexua"
5906,2,sexuales_y_reproductivos,A,"Plena libertad para decidir sobre su cuerpo, intimidad, identidad género y orientación sexual; control sobre sexualidad/reproducción (aborto libre), excluir cualquier tipo de violencia, incluso estatal y  obstétrica. Debe primar el respeto a la autonomía y libertad en la sexualidad y reproducción."
6465,2,sexuales_y_reproductivos,A,"Las personas deben tener el derecho a definir y ejercer sus opciones sexuales y reproductivas, en condiciones democráticamente establecidas"
6549,2,sexuales_y_reproductivos,A,Cada persona debe elegir su vida sexual y modo de cuidarla.
6784,2,sexuales_y_reproductivos,A,"expresar y vivir la propia sexualidad sin discriminación. Es reconocer el derecho a la libertad de identidad sexual de las personas y su diversidad. Es proteger la  autonomía de todas las personas para decidir con responsabilidad si tener hijos o no, cuantos, en qué momento y con quien."
6793,2,sexuales_y_reproductivos,A,"Creemos que el Estado no puede intervenir en algo tan privado. Debiera haber educación sexual y políticas que eviten los embarazos no deseados. Pero existen violaciones, accidentes y otras causas."
6875,2,sexuales_y_reproductivos,A,"Las personas deben tener libertad a tener una vida sexual y afectiva conforme a sus convicciones, libre de violencia. De procrear cuando queramos y con quien quiera, siempre que exista consentimiento de los involucrados. En especial se debe consagrar el Derecho a la mujer de interrumpir el embarazo"
6911,2,sexuales_y_reproductivos,P,EN TERMINOS DE RECONOCIMIENTOS COMO DDHH.
6938,2,sexuales_y_reproductivos,A,ratificación y cumplimiento del convenio de la CEDAW
7477,2,sexuales_y_reproductivos,D,Derechos Sexuales y Reproductivos (7 votos): en sentido amplio. Algunos plantean que se incluya el derecho al aborto y otros manifestaron su rechazo
