idEla,tema,concepto,acuerdo,fundamento
20,1,soberanía,A,"La soberanía es fundamental, pero no sólo en sentido territorial. También debe incluir propiedad del Estado sobre las riquezas naturales."
72,1,soberanía,A,Consagrar la soberanía
131,1,soberanía,A,La soberanía y la indivisibilidad del territorio. Chile es uno solo con lire acceso a todos los chilenos.
165,1,soberanía,A,"Capacidad para decidir por parte de la ciudadanía. Decisiones del pueblo soberano sobre recursos naturales, territorio, de las personas (cuerpo) empoderamiento individual."
166,1,soberanía,A,La soberanía debe radicar en el pueblo; titular de la potestad constituyente originaria.
171,1,soberanía,P,en el sentido de quienes mas tienen aporten mas a la sociedad
176,1,soberanía,A,"Es crucial para el estado y sus habitantes ser capaces de tomar autónomamente las decisiones para dirigir su orden territorial, cultural y económico."
206,1,soberanía,A,Protección del Estado con mas control aql capital e inversiónm extranjera. Servicios básicos deben ser estatales
219,1,soberanía,A,es importante que se siga reconociendo que la soberanía reside esencialmente en la nación y su ejercicio se realice pro el pueblo a través de plebiscitos y de elecciones periódicas. creemos que debe seguir teniendo como limitación los derechos esenciales que emanan de la naturaleza humana.
261,1,soberanía,A,Respeto a la soberania
270,1,soberanía,A,"Es esencial ya que un Estado no soberano se expone a que seamos gobernados por extranjeros, lo que se contradice con el derecho que tienen los pueblos de autodeterminarse politicamnte como ellos quieran."
296,1,soberanía,A,"entendida en varios sentidos: en sentido territorial; constitucional, como la soberanía ciudadana; en las relaciones internacionales; sobre la disponibilidad de los recursos naturales"
315,1,soberanía,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aquí se registran son los que obtuvieron las 7 primeras mayorías."
326,1,soberanía,A,El estado es el encargado de regular y normar el uso de los recursos naturales y su territorio. Que haya políticas serias respecto de los inmigrantes para que sean un aporte para el país.
368,1,soberanía,A,"Se requiere urgente mejorar los sistemas de seguridad social.Evitar descuentos de salud para pensionados, especialmente los de menores ingresos y adscritos a FONASA. Incrementar los fondos de pensiones aunque baje la rentabilidad de la AFP.Eliminar paulatinamente el sistema de AFP,. Pasando a un sistema estatal de seguridad social."
370,1,soberanía,A,Condición para ejercer otros valores y principios
389,1,soberanía,A,Implica asegurar la participación de las organizaciones sociales en la toma de decisiones.   Asegurar la soberanía territorial así como la soberanía y seguridad alimentaria mediante el fomento de la agricultura familiar campesina e indígena.
440,1,soberanía,A,"Atributo de la democracia: que el poder resida en la gente, que nuestra opinión sea respetada, escuchada y considerada, por medio de la participación activa ciudadana en las elecciones de cargos de representación popular, y en la toma de decisiones de nuestro país, ya sea a nivel local o nacional."
459,1,soberanía,A,promueve la autodeterminación de los pueblos
466,1,soberanía,A,Que podamos mantener el derecho de soberanía manteniendo plebiscitos y elecciones.
493,1,soberanía,A,Es importante que se siga reconociendo que la soberanía reside esencialmente y se haga en la nación y su ejercicio se realice por el pueblo a través del plebiscito y de las elecciones periódicas
494,1,soberanía,A,"Soberanía ciudadana en las decisiones públicas estemos todos presentes (se asocia a los conceptos de soberanía, voluntad popular / ciudadana). Vinculado íntimamente con el derecho amplio a la participación, se refiere a que en último término es la ciudadanía quien decide en los asuntos de mayor ..."
513,1,soberanía,A,los chilenos deben ser considerados como soberanos de las riquezas de nuestra nación. se ve perjudicada la soberanía por las transnacionales
516,1,soberanía,A,"La soberanía es intransable, reside en el pueblo de Chile, debe ser ejercida a través de un plebiscito vinculante, respetando los tratados internacionales."
589,1,soberanía,A,"Es el ser respetado como pueblo libre e independiente, y a decidir sin intromisión extranjera."
592,1,soberanía,A,de acuerdo con los fundamentos dados.
597,1,soberanía,A,La soberanía reside en la nación y se debe ejecutar por el pueblo a través del plebiscito y elecciones periódicas.
619,1,soberanía,A,Estado soberano sobre todos los recursos del país.
653,1,soberanía,A,Debe estar radicada en el pueblo ciudadano. Por eso debe educársele cívicamente.
692,1,soberanía,A,Poder Absoluto y perpetuo de una republica. Que la nacion pueda tomar decisiones respetando el bien comun y descentralizandose de ideologias y normativas extranjeras que no se adecuan al contexto real del pais.
693,1,soberanía,A,"Soberanía Popular, debe radicar en el pueblo quien decide su propio destino político, económico y cultural."
708,1,soberanía,A,"QUE EL PUEBLO PUEDA DECIDIR, QUE SEA CONSIDERADA LA OPINION DEL PUEBLO"
914,1,soberanía,A,Chile se mantengan como país soberano que sea capaz de auto-determinarse y regularse por la propia normativa que el mismo país genera.
929,2,soberanía,A,"Establecer el derecho como ciudadano y miembro del estado de chile, solicitando a los gobernantes en función a salvaguardar la soberanía en función al respeto y memoria de nuestra historia, y el espíritu de cuerpo de nuestros descendientes."
948,1,soberanía,A,"La soberanía reside esencialmente en la nación y su ejercicio se realice el pueblo a través del plebiscito y de elecciones periódicas, pero como limitación los derechos esenciales."
951,1,soberanía,A,mas resguardo
962,1,soberanía,A,"-Que en los principios esté la lucha del pueblo/comunidad. -Posicionarse en el Estado en territorio. -Cuidar y proteger nuestra soberanía, sobre todo en lugares apartados."
997,1,soberanía,A,"La soberanía reside esencialmente en la nación y su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas, pero como limitaciones los derechos esenciales."
1078,1,soberanía,A,"Respeto a la soberanía territorial por parte del estado a los distintos pueblos, cuando vean afectados sus derechos culturales ancestrales."
1096,1,soberanía,A,proteger el territorio primero; reconocer el derecho a revocar con preminencia de la soberanía popular por esto necesitamos una asamblea constituyente.
1104,1,soberanía,A,"POTESTAD SOBRE LOS RECURSOS NATURALES, TERRITORIO Y DERECHOS CIUDADANOS"
1144,1,soberanía,A,Las comunidades deben tener soberanía en los recursos naturales velando y garantizando su conservación .
1146,1,soberanía,A,"QUE NUESTRO PAIS SEA DUEÑO TOTAL DE SUS RECURSOS, COMO COBRE, AGUA, PESQUERA Y SERVICIOS."
1149,1,soberanía,A,que debemos ser respetado con nuestra soberania y no pasando a llevar a nuestro pais
1159,1,soberanía,A,"Nacionalización, respeto por nuestros recursos naturales."
1168,1,soberanía,A,"Se debe defender la soberanía del pueblo de su propio estado y que en los que recaiga el poder soberano sea la colectividad de individuos del país, sobre su gobierno, recursos y leyes."
1169,1,soberanía,A,"Que el Estado reconozca el derecho del pueblo, a través de una democracia participativa, a vivir en un país libre y soberano. Que garantice su independencia política, social, económica, cultural. Que se legisle para garantizar la propiedad común de los chilenos de todos sus recursos naturales."
1210,1,soberanía,A,"La soberanía del pueblo, entendida como la potestad del pueblo de participar de forma democrática y representativa sobre las distintas materias que le competen, como por ejemplo las riquezas naturales."
1221,1,soberanía,A,"La soberanía radica en el pueblo. este tiene la opción de legitimar aun representante  o deslegitimarlo, quitándole su ejercicio soberano cuando el pueblo no vea en este la representación de su voluntad."
1247,1,soberanía,A,"Del territorio geográfico, y de nuestra economía."
1258,1,soberanía,A,La soberanía radica en el pueblo.
1260,1,soberanía,A,Es necesario materializar el derecho de soberanía en materia de recursos naturales e hidrobiológicos. Además de poner en practica la soberanía en la toma de decisiones y en materia de desarrollo económico
1267,1,soberanía,A,No regalar los recursos naturales
1271,1,soberanía,A,"Entendida como producto de la autodeterminación, la soberanía económica, política, alimentaria, de recursos naturales, territorial, etc. Debe ser objeto de deliberación democrática ante los intereses foráneos o de privados. Se debe Nacionalizar los recursos naturales."
1301,1,soberanía,A,"El Estado o nación debería estar por sobre  las empresas y este Estado debería proteger el derecho de los pueblos que lo componen. Para que sea un Estado realmente soberanos requiere una amplia participación ciudadana en todos sus niveles, la participación centrada en las votaciones, donde una minoría vota, los hace poco legítimos y soberanos. Se requiere mayor participación y otros dispositivos para hacerlos como “los gobiernos locales participativos”, una soberanía centrada en el “bien común” un bien común no centrado en el modelo económico vigente."
1310,1,soberanía,A,Estado soberano es aquel que no responde ante otros estados o instituciones internacionales por sus acciones internas. Soberanía reside en el pueblo y el Estado la ejerce sobre territorio y recursos.
1321,1,soberanía,A,"Que podamos decidir que país queremos, elegir e interceder libremente a nuestras autoridades y ante las decisiones que se tomen."
1356,1,soberanía,A,"Participar a través del estado soberano, para tomar acciones o decisiones de uso, goce y disposición de procesos sobre los recursos, bienes y territorio del país pero para beneficio mayoritario del país y sus habitantes y no para empresas extranjeras u otras naciones."
1389,1,soberanía,A,Derecho a que se tomen decisiones y se comprometan los chilenos y chilenas a respetar los tratados internacionales.
1392,1,soberanía,A,Es importante que se siga reconociendo que la soberanía resida esencialmente en la nación y su ejercicio se realice por el pueblo a través del plebiscito.
1393,1,soberanía,A,"No se respetan los derechos ancestrales de tierra y agua. Los campesinos y comunidades indígenas no tienen derechos de agua. No se protegen los territorios agrícolas, hoy en día estamos siendo invadidos por parcelas de agrado. entorpece la convivencia y la producción de alimentos sin protegernos."
1396,1,soberanía,A,Es importante que se siga reconociendo que la soberanía reside esencialmente en la Nación y su ejercicio se realice por el pueblo a través del plebiscito y de elecciones periódicas.  Creemos que debe seguir teniendo como limitaciones derechos esenciales que emanan de la naturaleza humana.
