idEla,tema,concepto,acuerdo,fundamento
256,1,soberanía_popular,A,El poder político reside  en el pueblo (Poder Constituyente). Los recursos naturales son propiedad del pueblo.
372,1,soberanía_popular,A,"La base de la constitución tiene que ser que el poder radique en el pueblo, que seamos los habitantes del país quienes tomemos las decisiones, que podamos participar con derecho a voz y a voto en distintas instancias. Necesidad de desconcentrar el poder, que no esté concentrado en la elite."
628,1,soberanía_popular,A,Poder que reside en la gente para evitar que otros actores arrebaten derechos sociales. Incorpora los recursos naturales.
788,3,soberanía_popular,A,Se debe garantizar el respeto a la democracia y la voluntad del pueblo para salvaguardarla de agentes externos e internos.
854,1,soberanía_popular,A,El poder recae en el pueblo.
924,1,soberanía_popular,A,"Toda la institucionalidad debe descansar en la decisión soberana  de los ciudadanos y  el Pueblo en su conjunto. La soberanía  en su arista nacional debe incluir la propiedad del conjunto de riquezas naturales,  para garantizar independencia económica,  política y respeto a la naturaleza"
1080,1,soberanía_popular,A,El pueblo debe participar y decidir sobre la actuación pública del Estado.
2638,1,soberanía_popular,A,El poder tiene que residir en el pueblo.
2913,1,soberanía_popular,A,LA CONSTITUCIÓN DEBIERA SIEMPRE GARANTIZARLA SOBERANÍA DE LAS PERSONAS.
3251,1,soberanía_popular,A,empoderar a la ciudadanía. Una mirada de soberanía popular como un espacio de participación responsable: que combina derechos y deberes. Obliga o compromete culturización: la ciudadanía debe tener información y formación para ejercer derecho y deberes con conciencia.
3697,1,soberanía_popular,A,"se entiende como soberanía popular, que los ciudadano puedan elegir a sus representantes y tener el poder de decidir sobre temas relevantes para el país, como por ejemplo el beneficio de los recursos naturales, entre otros."
3906,1,soberanía_popular,A,el reconocimiento al poder del pueblo por sobre todo y al que se debe recurrir en las grandes decisiones. Implica oir directamente y no por medio de intermediarios
3922,1,soberanía_popular,P,"Democracia con participación popular, garantía de derechos.   Algunos ciudadanos no lo consideraron como principio prioritario."
4003,1,soberanía_popular,P,"Que la soberanía de nuestro Estado no radique en la Nación como lo es en la actualidad, si no que radique en el poder popular, en que el pueblo sea el soberano y este pueda elegir y modificar lo que por medio de esta constitución se pueda promover."
5146,1,soberanía_popular,P,"La soberanía reside esencialmente en el pueblo. El pueblo delega el poder, remueve el poder y puede ejercerlo."
5181,1,soberanía_popular,A,"Basada en la Democracia y la Participación, que permita el poder revocatorio. La entendemos como la autodeterminación de los pueblos."
5304,1,soberanía_popular,A,Las personas deben tener mecanismos para incidir directamente en la toma de decisiones
6900,1,soberanía_popular,A,"Considera que el poder reside en el pueblo, por lo que la constitución debe avalar y amparar lo que éste decida, a través de la Democracia Directa, bajo dinámicas de participación efectivas y vinculantes."
8752,1,soberanía_popular,A,"El poder constituyente reside en el pueblo. La constitución debe garantizar autonomía, libertad, una democracia basada en la participación vinculante y la posibilidad de generar una asamblea constituyente."
10120,1,soberanía_popular,A,poder del pueblo
10903,2,soberanía_popular,A,Ejercer la toma de decisiones desde la ciudadanía.
10926,1,soberanía_popular,A,La soberanía debe residir en el pueblo y no debe ser delegada en ninguna institución del Estado. La soberanía entendida como poder constituyente se expresa en la voluntad popular y es anterior y superior a toda legislación e institución constituida del Estado.
12239,1,soberanía_popular,A,El gobierno por el pueblo se debe expresar en un sistema democrático donde todos los ciudadanos son escuchados e incorporados.
12972,1,soberanía_popular,P,Reconoce al pueblo como el poder constituyente y esencial en la construcción del Estado.
13687,1,soberanía_popular,A,Cualquier cambio importante debe pasar por el escrutinio del pueblo.
13774,1,soberanía_popular,P,"como soberanía del pueblo, sobre nuestras riquezas naturales"
13933,1,soberanía_popular,A,Es en el Pueblo donde reside la soberanía y no en la Nación. Derecho a decidir nuestro destino
14150,1,soberanía_popular,A,"Comprensión de que el poder emana del pueblo, y el es el encargado de cuestionar la autoridad."
15389,1,soberanía_popular,A,"La Soberanía radica en el pueblo  y se ejerce a través de las instituciones que permiten el  ejercicio pleno de las expresiones democráticas de todos los soberanos , en los diferentes ámbitos del desarrollo humano, consolidando una democracia participativa en cada etapa de la vida de los soberanos"
15529,4,soberanía_popular,A,"Por sobre la soberania popular, nada. La soberania popular en la fuente de la legitimidad de todas las instituciones."
