idEla,tema,concepto,acuerdo,fundamento
8,1,solidaridad,A,"los seres humanos somos más que la suma de individuos, somos seres sociales. Por ello debemos consignar el principio de cooperación y reciprocidad en las relaciones.  Es así como entendemos la solidaridad en la búsqueda del bien común como base para la convivencia democrática"
14,1,solidaridad,A,- Que todos aportemos para generar un país más justo. - Ayudarnos entre todos. - El estado debe promoverla en todo ámbito.
35,1,solidaridad,A,"Fraternidad entre individuos, instituciones y como nación, es el entender que necesitamos apoyarnos entre todos, en oposición al individualismo y a la subsidiaridad. También incluye a la solidaridad con otras naciones o individuos, independiente de su nacionalidad."
55,1,solidaridad,A,Sin comentarios
66,1,solidaridad,A,"Todos deberíamos seguir este valor, ya que se está olvidando completamente en la sociedad individualista en que vivimos."
70,1,solidaridad,A,queremos un estado solidario que se haga cargo de las necesidades y derechos de todos y de todas
85,1,solidaridad,A,Con una mayor participación empresarial del Estado.
91,1,solidaridad,A,es un valor que debe estar presente en nuestra sociedad siempre.-
94,1,solidaridad,A,Necesario para una sociedad del bienestar.
101,1,solidaridad,A,"Es importante en cualquier estado. Si no nos ponemos en la situación del que está al lado de nosotros, para qué queremos un estado. Al vivir en sociedad uno debe considerar que se debe respetar al otro. Es fundamental para la existencia de una sociedad y debe estar en la Constitución."
104,1,solidaridad,P,Ayudar a los demás y aprender a ubicarnos en el lugar de los demás. Acuerdo parcial porque creemos que está incluida en el concepto de respeto y justicia.
115,1,solidaridad,A,Porque es humanidad
126,1,solidaridad,A,"EL ESTADO DEBE OCUPARSE DE TODOS SUS HABITANTES. PERO, TAMBIÉN, TODOS DEBEMOS PREOCUPARNOS Y OCUPARNOS DE LOS DEMÁS."
144,1,solidaridad,P,"El punto de inflexión se genera entre que el estado solidario es aquel que garantiza los derechos sociales, y por otra parte, por el uso que se le da a la palabra solidaridad, se prefiere estado garante de derechos."
151,1,solidaridad,A,"Ser más consciente, colocarse en el lugar del otro, ser más empáticos"
162,1,solidaridad,A,"Fomentar la solidaridad para cambiar la sociedad individualista que provoca un mercado como el actual, para la formación de una sociedad más equitativa en donde desde el más pobre hasta el más rico cooperar según su situación económica"
168,1,solidaridad,A,"Consideramos que la solidaridad es imprescindible para construir comunidad, debiendo manifestarse en todo orden de cosas, como: entre Instituciones, entre regiones, entre personas, entre Estados y entre Organizaciones."
178,1,solidaridad,A,"Lo consideramos esencial pues debemos recuperarlo como valor social ya que es el ser el  antónimo del individualismo y la competencia imperantes en el sistema actual, contribuyendo al trabajo mancomunado y con ello a la equidad y así hacer una sociedad con mayor justicia social."
193,1,solidaridad,A,No hay fundamentos más allá de la discusión.
198,1,solidaridad,A,El Estado Subsidiario está desgastado. Debemos avanzar hacia un Estado Solidario.
206,1,solidaridad,A,"Igualdad entre todos, mayor apoyo entre los ciudadanos"
232,1,solidaridad,A,"Solidaridad se entiende como la responsabilidad colaborativa de todos los ciudadanos sobre aspectos relevantes de interés público, considerando los beneficios y deberes de manera conjunta."
238,1,solidaridad,A,"Falta mayor solidaridad con el otro, con la comunidad, entre familias y amigos."
239,1,solidaridad,A,-
245,1,solidaridad,A,Todos debemos ayudar a los personas con bajos recursos o un país o ciudad que haya sido asotado por una catástrofe.
247,1,solidaridad,A,"La colaboración y la ayuda mutua contribuyen a una conciencia social colectiva que permite una mayor justicia y equidad, lo que potencia la sensación de pertenencia y respaldo del grupo. Estos son elementos claves para el pleno desarrollo de las personas."
252,1,solidaridad,A,Es un valor que se debe rescatar y asi dar una base a los derechos de los ciudadanos.
256,1,solidaridad,A,"El apoyarnos mutuamente, es un valor fundamental que debe contener la constitución."
287,1,solidaridad,P,el Estado tiene que tener un rol activo en garantizar derechos fundamentales. El Estado debe fomentar la redistribución de la riqueza.
295,1,solidaridad,A,"Apertura para comprender, empatizar y compromterse con las distintas realidades."
304,1,solidaridad,A,Para el fomento del bien comun
310,1,solidaridad,A,se considera un valor importante no solo dentro del aula de clases sino que en una sociedad también
312,1,solidaridad,A,Es la base de la convivencia. Combate la indiferencia.   Debe ser permanente en la convivencia.
318,1,solidaridad,A,Porque debemos ayudar a nuestros hermanos
319,1,solidaridad,P,La pertenencia y apoyo de una sociedad amplia y diversa permite una vida mejor.
344,1,solidaridad,A,"Que el estado promueva la solidaridad como un bien común, donde todos aportan para una reparticion de recursos según necesidades. Solidaridad en sistema de pensiones, salud, educación, etc."
347,1,solidaridad,A,2.-Mayoría sin mayor discusión
356,1,solidaridad,A,"Es la preocupación colectiva por el otro, que tiende al bien común."
371,1,solidaridad,A,BASE SOLIDARIA PARA CRECER  COMO SOCIEDAD
377,1,solidaridad,A,"Queremos recuperar el rol del Estado garante o solidario que sea responsable y  proveedor en educación, salud; previsión social y vivienda como aspectos centrales y terminar con el rol subsidiario."
407,1,solidaridad,A,"Que el estado tenga un rol activo y principalmente en salud, vivienda, seguridad social, educación."
414,1,solidaridad,A,"Excluye la idea asistencialista y prioriza el bien común, el compañerismo y la cohesión social."
434,1,solidaridad,A,Siempre con todos y todas en todos los aspectos de la vida.
464,1,solidaridad,A,Incluye FRATERNIDAD
494,1,solidaridad,A,"Como principio, fundamenta la autocomprensión de un pueblo como unidad social, donde fraternamente colaboraremos en el resguardo de los derechos y bienestar del otro. Se contrapone al individualismo instalado, que fragmenta a la sociedad y genera las condiciones para la mala calidad..."
499,1,solidaridad,A,Chile debe ser un Estado solidario que garantice el bien común por sobre los intereses particulares.
525,1,solidaridad,P,Consideramos que es un valor o principio que debe estar en la constitución.
527,1,solidaridad,A,"Compromiso de apoyo mutuo en la dimensión económica, social, cultural, ambiental y territorial de la sociedad. Eel desarrollo sostenible de los territorios y de las ciudades requiere de instrumentos constitucionales que aseguren que los beneficios se (re)distribuyan de manera equitativa"
542,1,solidaridad,A,Es un valor rector del estado para que este se encargue de forma no asistencialista de sus ciudadanos es decir que redistribuya los ingresos y los beneficios equitativamente.
560,1,solidaridad,A,"todas las personas concordaron con la solidaridad, el estado debe garantizarla ya sea como sea, es fundamental para nuestro país."
589,1,solidaridad,A,"Valorarse y cuidarse como legitimo otro, lo que permite comprometerse con lo que sucede a tu hermano.Con solidaridad se evita esta sociedad que hoy esta individualista"
601,1,solidaridad,A,preocupación por el otro
603,1,solidaridad,A,"Se relaciona con el bien común y es necesario para que exista colaboración mutua entre individuos, basada en relaciones de apoyo, respeto y tolerancia."
606,1,solidaridad,A,que el ejercicio de los derechos sean garantizados por la constitución
639,1,solidaridad,A,"Estado solidario, que incluya igualdad, democracia, soberanía, justacia, libertad."
643,1,solidaridad,A,"es fundamental pensar en los demás sentir como propio los problemas de los mas desvalidos, como ayudar, la idea de compartir de forma afectiva: moral y materialmente"
653,1,solidaridad,A,La Constitución a través de todas sus instituciones debe promocionar y poner en práctica relaciones solidarias.
680,1,solidaridad,A,Es necesario para que haya buena comunicación entre las personas. Es uno de los pilares del cooperativismo. Tenemos que ayudarnos entre nosotros poniéndonos en el lugar del otro y construir en conjunto.
