idEla,tema,concepto,acuerdo,fundamento
168,1,subsidiaridad,D,"Rechazamos totalmente la subsidiaridad como principio. Porque consideramos indispensable que el Estado pueda actuar libremente y en cualquier esfera, para garantizar el bienestar común y de las personas."
213,1,subsidiaridad,D,Se rechaza la inhibición del Estado en el ejercicio de ciertas actividades y obligaciones y el traspaso de éstas a otros entes como el sector privado.
273,1,subsidiaridad,A,Se garantiza que el Estado va en apoyo o garantiza a los + vulnerables.
297,1,subsidiaridad,A,El Estado sólo debe realizar aquellas actividades económicas  que los particulares no puedan o no quiera  realizar teniendo siempre los privados la prioridad en el ejercicio de las actividades e iniciativas productivas y económicas
315,1,subsidiaridad,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
425,1,subsidiaridad,A,"estado subsidiario y garantista para con todas las personas de la nacion. que establezca garantias minimas, con calidad e igualdad."
426,1,subsidiaridad,A,"Porque reconoce el rol principal de las personas y los grupos intermedios en la organización de la sociedad, por sobre el rol del Estado, y dejándolo (al Estado) exclusivamente para todo aquello que las personas y grupos no puedan o no quieran satisfacer o desarrollar."
462,1,subsidiaridad,A,"Reconocer la deuda histórica del estado con los Pueblos Originarios , devolviendo les su tierra ancestrales o indemnización económica."
479,1,subsidiaridad,D,"El Estado debe ser garante y solidario, no subsidiario."
524,1,subsidiaridad,A,"Se comentó que debe ser para todas las personas a lo largo de Chile, para su mejor bienestar y calidad de vida."
571,1,subsidiaridad,A,El Estado sólo debe realizar actividades productivas que los particulares no puedan realizar y debe ser autorizado por ley.
671,1,subsidiaridad,A,Que el estado ponga su foco en asegurar lo básico para mantener la dignidad de las personas.
678,1,subsidiaridad,A,Con este principio aseguramos un mínimo de bienestar para todos nuestros ciudadanos.
694,1,subsidiaridad,A,El Estado debe intervenir solo cuando las personas no puedan bastarse por si mismas.
701,1,subsidiaridad,A,"Creemos que el Estado debe respetar la autonomía y libertad de actuación de particulares y grupos intermedios, actuando subsidiariamente cuando sea necesario."
807,1,subsidiaridad,P,"La iniciativa la deben tener los particulares y los cuerpos intermedios.  Al tener otros derechos y principios fuertes, no es fundamental.  Las personas culpan al Estado de todos sus problemas."
855,1,subsidiaridad,D,"Fin al rol subsidiario del Estado. El estado debe recuperar su rol garante de derecho y proveedor de servicios sociales en educación, salud, previsión y otros derechos. También el Estado debe promover el emprendimiento de nuevos actores en la economía y la democratización del capital."
864,1,subsidiaridad,A,: el Estado interviene sólo cuando la iniciativa particular no puede resolver por si sola un asunto que atañe al bien común.
904,1,subsidiaridad,A,"Todos los puntos fueron sometidos a votación, y los que aquí están seleccionados son aquellos que obtuvieron la mayoría."
956,1,subsidiaridad,A,ES UN PRINCIPIO PUES TE SALVAGUARDA EL CORRECTO USO Y DISTINTO DE LOS ESCASOS RECURSOS DEL ESTADO.
957,1,subsidiaridad,D,"existe desacuerdo en que el estado y la constitución aseguren la subsidiaridad ante servicios básicos a los más vulnerables, ya que otros participantes consideraban que el estado debe tener un rol potenciador de la economía y no subsidiario."
959,1,subsidiaridad,A,Entes Fiscalizadores en forma permanente y regular
989,1,subsidiaridad,A,"El estado debe dar garantías a las personas a tener las oportunidades sin importar nuestros ingresos, tales como un buen sistema de salud y educación, gratuita y de calidad, un sistema de pensiones que permita una vejes digna.  Para cumplir con esto, el estado debe dar las garantías de que solo se otorguen estas por sus niveles de ingresos, quien gana más pague más, pero con parámetros distintos a los actuales, sin dejar de lado a la clase media como ocurre hoy."
995,1,subsidiaridad,A,El Estado interviene en pro del bien común sólo cuando los particulares o grupos intermedios no pueden o no quieren hacerlo.
1015,1,subsidiaridad,P,"No se encuentra regulada expresamente, por lo que da lugar a interpretaciones  desfavorables. Se considera que debe ser regulada para no dar lugar a estas interpretaciones, y además debe regular al Estado no con una labor abstencionista, sino que más activo en el ámbito social"
1057,1,subsidiaridad,A,"como deber del estado de generar oportunidades donde el particular no alcanza, en acuerdos publico privados"
1071,1,subsidiaridad,A,"Es uno de los principios rectores de la Constitución del 80 y que se materializa en la economía de libre mercado que ha adoptado el país, lo que permitió que el sector privado se convirtiera en el principal motor de la producción nacional.- Fue elegido con 13 votos"
1107,1,subsidiaridad,A,"Incluye el reconocimiento al emprendimiento libre, implica que el Estado debe tener un rol activo en casos de urgencias sociales como la pobreza, protección social y a la infancia; debería comprender el rol fiscalizador de la actividad privada"
1108,1,subsidiaridad,A,El Estado solo puede realizar actividades  productivas autorizadas por ley y que los particulares no pueden realizar.
1120,1,subsidiaridad,D,"No a la subsidiaridad del estado a privados, con o sin fines de lucro. Mayor participación del estado."
1132,1,subsidiaridad,A,El estado debe ser subsidiario sólo en aquellas materias que el sector privado no las cubra
1139,1,subsidiaridad,A,toda la asamblea de acuerdo
1169,1,subsidiaridad,P,"Fin al Estado subsidiario. Terminar con las políticas de mercado para satisfacer las necesidades de la sociedad. Políticas que al final el estado debe ""subsidiar"". La creación de un estado fuerte, que a través de una tributación efectiva, pueda hacerse cargo de las necesidades de la sociedad."
1188,1,subsidiaridad,A,"Debe existir una veeduría por parte del gobierno en el buen empleo del subsidio. ""Mas acceso, menos burocracia"""
1362,1,subsidiaridad,P,Esto se debe entender como que la individualidad debe estar subyugada a los intereses colectivos.
1373,1,subsidiaridad,A,"El Estado debe proveer los recursos necesarios, subsidiando a personas con necesidades especiales y a entidades que los agrupan.  Debe cuidar y velar especialmente del adulto mayor con discapacidad."
1397,1,subsidiaridad,D,"Este Modelo ha demostrado que profundiza la desigualdad, atenta contra la dignidad de las personas y demuestra indiferencia con los recursos naturales y el medio ambiente."
1556,1,subsidiaridad,A,Apoyo a los mas necesitados especialmente niños y ancianos.
1567,1,subsidiaridad,A,El Estado cree políticas públicas para el financiamiento permanente de centros de rehabilitación que no se incluyen en el financiemiento estatal
1640,1,subsidiaridad,A,En base a que exista la posibilidad para aquellos que lo necesitan.
1708,1,subsidiaridad,A,"Subsidiariedad/Solidaridad. El Estado al servicio de la persona humana que no incurra en campos que puedan desarrollar los particulares, salvo excepciones en virtud del bien común y que sea solidario."
1715,1,subsidiaridad,A,El Estado sólo debe realizar actividades productivas que los particulares no puedan realizar y debe ser autorizado por ley.
1727,1,subsidiaridad,A,es importante que el Estado subsidie con recursos a las áreas donde no es posible
1774,1,subsidiaridad,D,"No creemos en un estado subsidiario, el rol del estado es de fomento y construcción."
1819,1,subsidiaridad,A,"Lo que no puede hacer uno lo puede hacer otro, por lo que permite un equilibrio entre el estado y el individuo."
1884,1,subsidiaridad,A,"Consideramos que los derechos: salud, educación, vivienda sean apoyados por el Estado en caso que el individuo o el privado no lo haga."
1902,1,subsidiaridad,A,"El Estado debe garantizar y/o proporcionar todos los derechos y servicios, en caso de que las personas no puedan acceder a estos."
1933,1,subsidiaridad,A,El estado debe intervenir en la economia solo cuando las personas no puedan realizando.
