idEla,tema,concepto,acuerdo,fundamento
19,1,tolerancia,P,Se debe derribar las bigemonías
65,1,tolerancia,A,tener respeto por todas las personas y aceptarlas como son.
89,1,tolerancia,P,la constitución debe ser tolerante e instar a la tolerancia a todos los chilenos.
105,1,tolerancia,A,"a la diversidad, a los adultos mayores hacia la ciudadanía en general"
118,1,tolerancia,P,Todo el mundo tiene derecho a ser distinto. No se pueden exigir creencias personales ni populares.
130,1,tolerancia,A,"Respeto y comprensión y paciencia hacia los otros, va a permitir que las personas vivan en paz."
131,1,tolerancia,A,Debemos construir una sociedad basada en la tolerancia. Las mayorías no se imponen a minorías. Se busca el mayor consenso social.
138,1,tolerancia,A,ACEPTAR AL OTRO
139,1,tolerancia,A,"Este principio es fundamental para lograr paz social, entendimiento de las diferencias, y logro de acuerdos que le den estabilidad a la política y al crecimiento del país"
147,1,tolerancia,A,"Sin tolerancia no existiría aceptación a las personas, no existe una verdad absoluta, las personas deben ser tolerante para vivir en comunidad."
151,1,tolerancia,A,Ser paciente y respetuoso a ponerse en el lugar del otro
202,1,tolerancia,A,La tolerancia debe ser la compañía a la integración
210,1,tolerancia,A,"Aceptar a los demás con defectos y virtudes, tal cual es en forma reciproca."
220,1,tolerancia,A,"Se deben respetar las legítimas diferencias de pensamiento, credo, cultura, ideología, etc."
223,1,tolerancia,A,"Tolerancia es igual  aceptación concepto condicionado, debe aceptar la posición del otro bajo la condición de equidad y justicia. La nueva constitución debiera garantizar la libre posición del otro"
238,1,tolerancia,A,El sistema está muy agresivo y vuelve agresiva a las personas. Este valor debe ponerse a la práctica por todos.
293,1,tolerancia,A,"Parte integrante de la democracia, sin democracia no hay tolerancia."
296,1,tolerancia,A,reconocimento constitucional a las diversas foirmas de pensar la sociedad y la posibilidad de expresarlas o representarlas
304,1,tolerancia,A,Con el que piensa piensa distinto
310,1,tolerancia,A,valor de gran importancia para un desarrollo integro dentro de una comunidad.
312,1,tolerancia,A,"Aceptar al otro con sus defectos y virtudes, con tolerancia y respeto."
334,1,tolerancia,A,aceptar y convivir con realidades y personas que piensan distinto a nosotros
363,1,tolerancia,A,"Tolerancia entre nosotros con nuestras diferencias, ya sea sexo u orientación sexual."
370,1,tolerancia,A,Atiende a la diversidad
390,1,tolerancia,A,Debemos aceptar las diferencias de los demás
424,1,tolerancia,A,Respeto a las diferencias a la patria que nos permite construir una patria mejor
430,1,tolerancia,A,"PRINCIPIO QUE BUSCA ACEPTAR QUE EN TODA COMUNIDAD CONVIVEN PERSONAS QUE TIENEN DIVERSAS IDEAS, ORIENTACIÓN SEXUAL, IDENTIDADES CULTURALES, RELIGIÓN, ETC. PERO QUE DEBEN VIVIR EN ARMONÍA."
447,1,tolerancia,A,con las minorías de cualquier tipo
450,1,tolerancia,P,"Se deben aceptar las diferencias entre las personas, promoviendo un trato respetuoso a todos y todas."
476,1,tolerancia,A,que la sociedad actual tolere en mejor forma la discapacidad psiquica y la inclusion de personas con capacidades distintas
479,1,tolerancia,A,Contener la diversidad y discrepancias en respeto al bien común y a la convivencia.
524,1,tolerancia,A,"Este valor debe ser enseñado en la familia y continuar su aprendizaje y practicarlo a lo largo de su educación en los diferentes ambientes en que la persona se va manifestando con sus deberes y derechos para ser auténtico y coherente con sus  valores. En clubes deportivos, junas vecinales donde se dialogue con las personas que piensan distinto ya sea en el ámbito político, religioso, racial, cultural, social. Un país que no escucha sus bases se falta a la justicia al respeto entre las personas y la violencia pasa a ser el mejor actor y el sentirse no escuchado y por la falta del diálogo la tolerancia no se ejerce"
534,1,tolerancia,A,El equilibrio y armonia social lo requieren
560,1,tolerancia,A,"a su vez enlazaran los conceptos con todos los que los eligieron, los participantes hacen mención a este concepto que es necesario para desarrollarlo en todos los ámbitos haciendo referencia y comparándolos."
569,1,tolerancia,A,tolerar a las personas sin importar su condición
590,1,tolerancia,P,"Pero que sea activa, aceptando pero no permitiendo transgresión a los Derechos Humanos"
605,1,tolerancia,A,"fomentar hoy en día la tolerancia, estamos en una vida muy acelerada y con todo las personas están muy individualistas"
612,1,tolerancia,A,"Es muy importante ser tolerantes, entender que todos somos diferentes, ideas distintas, formas de ser diferentes, diversas culturas, diversidad de genero. Todos existimos bajo el mismo País y la Constitución debe resguardar esas diferencias, así como también nosotros con nuestros pares."
634,1,tolerancia,A,"Aceptar que tiene una opinión y actuar diferente. Respetar ideas, acciones y creencias del otro."
673,1,tolerancia,P,Debemos aprender a ser tolerantes con nuestros pares.
689,1,tolerancia,A,"Capacidad de tomar y aceptar diferencias y errores y desde allí, tomar acuerdos y llegar a un consenso que beneficie a todos."
721,1,tolerancia,A,Capacidad de establecer límites sociales que permitan una sana convivencia.
737,1,tolerancia,A,Muy relacionado a lo indicado en ítem Respeto.
773,1,tolerancia,A,Tolerancia como sinónimo de respeto a la dignidad humana
774,1,tolerancia,A,"Después de dialogar, 10 de 11 participantes votaron por este Principio."
789,1,tolerancia,A,Respeto y empatía a la diferencia.
835,1,tolerancia,A,este valor engloba el respeto a los demás. aceptemosnos
874,1,tolerancia,A,"Para tener una buena convivencia, sin críticas a las diversas opiniones"
967,1,tolerancia,A,Somos diversos debemos ser tolerantes
974,1,tolerancia,A,"Principio básico para el respeto entre los integrantes de la sociedad, cuyo ejercicio garantiza una adecuada convivencia social."
980,1,tolerancia,A,Aceptar y respetar ideas distintas a las nuestras
987,1,tolerancia,A,"Tolerar la opinión, decisión y acción del otro aprendiendo a convivir y no agredirlo verbal o físicamente solo porque no piensa igual que yo."
1033,1,tolerancia,A,debe consagrarse como un principio inspirador de la convivencia nacional
1061,1,tolerancia,A,"actitud de cualquier persona que respete opiniones, ideas, o actitudes de las demás personas, basada en la inclusión de las mismas en todo el quehacer humano."
1075,1,tolerancia,A,"Más tolerantes, más respeto, ser mejores personas"
1123,1,tolerancia,A,"étnica, religiosa, cultural, sexual, hasta donde no empiezan los derechos del otro, y además donde el límite dice relación con no provocar daño ni físico, ni psíquico al individuo"
1124,1,tolerancia,P,"Por que con este valor se puede vivir en forma adecuada, por que el chileno se ha caracterizado por su falta de tolerancia. Si no hay tolerancia no hay respeto. El grupo discute que agregarlo también puede ser tolerar lo negativo."
1157,1,tolerancia,A,Tolerar y respetar a la vida de los demás. Convivir y aceptar al otro con sus virtudes y defectos.
1184,1,tolerancia,A,Respeto hacia los otros
1228,1,tolerancia,A,Actitud y respeto que se tiene por la acción de otros. Aceptación de ideas.
1346,1,tolerancia,A,ser tolerante con los demás para tener una buena convivencia
1383,1,tolerancia,A,País poco tolerante. Sin conocimiento de causa provoca discusiones y conflictos.
1486,1,tolerancia,A,Sin fundamento
1513,1,tolerancia,A,que el estado dicte normas de tolerancia en todo tipo de a acción. igualdad a la toleracia
1545,1,tolerancia,P,Respetar los derechos de cada persona sin importar su nacionalidad.
1570,1,tolerancia,A,Religion Social y Cultural
1574,1,tolerancia,P,"la constitución debe tolerar las opiniones, ideas y cambios porque estamos en una sociedad cambiante."
1618,1,tolerancia,A,DE PARTE DE AGRUPACIONES QUE BUSCAN SER ACEPTADOS.
1632,1,tolerancia,P,Aunar criterios es la base para una buena sociedad
1634,1,tolerancia,A,"Tolerancia a la diversidad, con bases como igualdad e inclusión. A , PSSD, migrantes etc."
1651,1,tolerancia,A,asd
1677,1,tolerancia,A,"Valorar y aceptar lo que me parece distinto y diferente, ajeno a lo propio"
1723,1,tolerancia,A,acuerdo de todos por esta opcion
1735,1,tolerancia,P,MAs que tolerancia pedimos respeto y que podamos convivir en paz
1809,1,tolerancia,A,"Es necesario respetar las ideas, creencias, cultura, pensamiento, forma de ser de otros, etc. aún cuando resulten muy distintos a los nuestros. La tolerancia es la base de la convivencia social y, por lo tanto, debería inspirar una nueva constitución."
1848,1,tolerancia,A,"La tolerancia implica respeto, es una actitud que favorece la vida en comunidad."
1855,1,tolerancia,A,"Aceptar a nuestro prójimo en toda su magnitud.  La tolerancia hacia el adulto mayor debe convertirse en prioridad, ya que en la actualidad no existe en nuestra sociedad."
1865,1,tolerancia,A,Respeto en todo orden de cosas.
1923,1,tolerancia,A,"Respetar el espacio del otro, independiente de lo que haga. Ser paciente"
1930,1,tolerancia,A,"Actitud fundamental para la vida en sociedad, un valor fundamental de respecto hacia el otro."
1947,1,tolerancia,A,"Diversidad de las personas: sexual, pensamiento, creencias. Siempre respetando la libertad del otro. Escuchar y ser escuchado. No discriminación, no existan exámenes médicos de uso de cannabis en los trabajos."
1956,1,tolerancia,A,"Concierne al respeto a aquello donde se funda la diferencia. Implica respeto a todo individuo o grupo, sin importar su origen o características particulares"
1978,1,tolerancia,A,"Este concepto debiese ser considerado en la constitución no sólo a través de declaraciones  de buena intención, sino que de manera más concreta. Que este valor  se encuentre al alero del respeto por las diferencias entre las personas, no aceptando actitudes de discriminación y sancionando en caso de  existencia de estas acciones.-"
2001,1,tolerancia,P,E  la sociedad que estamos es importante tener este valor para continuar día a día.
2040,1,tolerancia,A,Se ha de trabajar para que las opiniones de todos y todas sean aceptadas.
2043,1,tolerancia,A,"Aceptacion de la diversidad, aceptación del ser humano. Debemos entender que no estamos solos."
2045,1,tolerancia,A,"Modo de convivencia a partir de la experiencia, fundada en el respeto a si mismo y que garantiza la conservación de la memoria historica y la construcción del porvenir fundado en el debate genuino de ideas"
2069,1,tolerancia,A,Respetar la opinión de los demás
2106,1,tolerancia,P,"La aceptación de las diferencias personales y colectivas, aceptación de culturas y credos, opiniones, equidad de género, entre otras."
2116,1,tolerancia,A,Respeto a la libertad del prójimo
2121,1,tolerancia,A,Aceptar a los demás es clave para una buena convivencia.
2126,1,tolerancia,A,"Que seamos capaces de aceptarnos y tolerarnos como personas, independiente de los credos, razas, etnias, color político."
2140,1,tolerancia,A,porque hay que aceptar la diversidad
