idEla,tema,concepto,acuerdo,fundamento
2594,2,trabajo_digno,A,"Que el estado garantice el trabajo, incluye la sindicalización, el derecho a huelga, por la salud mental de las personas es un pilar fundamental para trabajar con los otros derechos también"
3266,2,trabajo_digno,A,Trabajar con responsabilidad y sin temor a represalias o al acoso laboral de parte de tu empleador
3297,2,trabajo_digno,A,"Acceso al trabajo, salario justo, sindicalización y huelga."
3689,2,trabajo_digno,P,"debe estar garantizado el trabajo digno, que no existan trabajos que denosten a las personas o que no sean remunerados como corresponde."
4020,2,trabajo_digno,A,"Mejor salario y condiciones en el trabajo, capacitaciones, horarios etc. Derecho a la sindicalización. Seguridad laboral.  Las condiciones laborales deben ser las que corresponden, no debiera existir salario mínimo sino un salario igualitario."
4583,2,trabajo_digno,A,"Dignos en horarios, salarios y poner fin a las condiciones de laborales precarias y humillantes."
4881,2,trabajo_digno,A,"Que incluya (derecho a sindicalizarse, a la negociación colectiva, a la huelga, al salario  equitativo)"
5015,2,trabajo_digno,A,"remuneraciones y jornadas laborales justas y dignas, junto con libertad de asociación; y que pueda coexistir con una sana calidad de vida (work-life balance)."
6355,2,trabajo_digno,A,El estado debe garantizar el acceso al trabajo y que además este cumpla las condiciones de proporcionar una buena calidad de vida al trabajador.
6594,2,trabajo_digno,A,"- A la seguridad de un trabajo que contemple contrato, vacaciones, buen trato  - Al derecho de asociarse y sindicalizarse  - A salarios dignos"
6834,2,trabajo_digno,A,"- El trabajo digno tiene relación con la calidad derivada de la actividad del trabajo y su impacto en la calidad de vida en general, como vivienda, jubilación, salario digno y justo."
6834,3,trabajo_digno,A,Derivado del Derecho al trabajo digno.
6900,2,trabajo_digno,A,"Derecho a trabajar con una retribución digna y en condiciones laborales seguras.Garantizar la huelga y sindicalización. Trabajadores tienen derecho a ejercer adecuadamente la crianza de los niños a su cargo y a una jornada laboral corta que permita tiempo para el ocio, esencial para la salud mental"
7556,2,trabajo_digno,A,"Estado debe garantizar derechos laborales de los ciudadanos, estableciendo derecho a sindicalización y huelga"
8486,2,trabajo_digno,A,"Es derecho de cada trabajador poder sindicalizarse, con derecho a huelga sin reemplazo, re-inserción laboral, tener salario equitativo entre hombres y mujeres, y tener una jubilación digna."
8621,2,trabajo_digno,A,"Entendido como el derecho a ejercer una labor remunerada que no atente contra la dignidad, salud, ni esparcimiento. Garantizar remuneraciones que permitan una calidad de vida digna, eliminar clausulas abusivas y discriminatorias por parte de empleadores y que se proteja a los trabajdores de situaci"
8717,2,trabajo_digno,A,"Toda forma de sustentabilidad y sostenibilidad humana individual y colectiva, es valorada para satisfacer las necesidades y felicidad de la colectividad y el individuo."
9059,2,trabajo_digno,A,Tal y como lo entienden las convenciones y tratados internacionales. No es el derecho al trabajo (entendido como tener un trabajo) sino a que cuando éste exista se dé en condiciones dignas.
9970,2,trabajo_digno,A,se establece como un derecho que debieran tener todos los ciudadanos asegurando por parte del estado un trabajo decente
10268,2,trabajo_digno,P,"Es la forma de tener calidad de vida, promueve la igualdad, favorece el desarrollo personal y del país. Que el estado promueva un trabajo digno (ACUERDO PARCIAL)"
10501,2,trabajo_digno,A,todos tenemos derecho a un sueldo justo y condiciones optimas para desarrollarse.
11148,2,trabajo_digno,P,"Que todos tengan acceso a un trabajo que cumpla con un salario digno suficiente para cumplir necesidades básicas, ambiente laboral de respeto que cumpla con los derechos humanos."
11345,2,trabajo_digno,A,"Trabajos donde se respete el desarrollo y la dignidad de las personas.   Donde se valore la particularidad de las personas y su aporte a la sociedad.   Que esto repercuta en temas como: salario, sueldo mínimo, previsión, calidad de vida, jornada laboral, etc."
11573,2,trabajo_digno,A,"Garantizar la libertad de trabajo, al trabajo, al salario equitativo, a la sindicalización, a la negociación colectiva y a la huelga."
11612,2,trabajo_digno,P,"Todos los ciudadanos tienen derecho a un trabajo digno y justamente remunerado, donde el Estado tiene el deber de establecer, legislar e inspeccionar que se cumplan las normas y condiciones laborales básicas necesarias para el desarrollo de este, sobreponiendo ante todo la dignidad del trabajador."
12434,2,trabajo_digno,A,El derecho a que se respete la dignidad como persona y los derechos laborales de ésta.
12874,2,trabajo_digno,A,"Acceso a un trabajo digno con un sueldo apropiado y una jornada laboral de máximo 40 horas semanales que aseguren una buena  calidad de vida y un descanso apropiado, permitiendo el desarrollo de otras actividades de esparcimiento y/o familiares, independiente del género."
13304,2,trabajo_digno,A,"Se debe garantizar el trabajo digno entendido como la obtención de una remuneración justa y equitativa, acceso a una seguridad social adecuada, de calidad y oportuna. Se debe entregar una real protección del trabajo como fuente de desarrollo de las expectativas de vida, otorgando constitucionalmente la restitución del empleo frente a despidos injustificados o injustos.  Se debe garantizar la igualdad en el ejercicio, goce y protección de los derechos individuales y colectivos de las personas, excluyendo no solo toda forma de discriminación, en su más amplia definición, sino que también, garantizar las iniciativas necesarias para que todo individuo tenga las herramientas de defensa frente a los organismos del estado y los privados."
13728,2,trabajo_digno,P,"El estado debe generar  fuentes de trabajo con calidad y respeto por las y los trabajadores  , reactivar la industria nacional"
15243,2,trabajo_digno,A,"con un sueldo digno, contrato, y acceso prestaciones provisionales."
15561,2,trabajo_digno,A,Que el Estado asegure y respete los derechos básicos de las personas en sus espacios de trabajo.
15664,2,trabajo_digno,A,"contar con un trabajo que garantice condiciones básicas tales como: implementos y herramientas, sueldo digno, cobertura de salud, en caso de accidentes y descanso necesario"
