idEla,tema,concepto,acuerdo,fundamento
14,1,transparencia,A,- Saber en qué se utilizan los fondos públicos. Cuentas públicas más detalladas.  - Transparencia en cargos de representación.
170,3,transparencia,A,La obligación de dar a conocer las razones de las decisiones permite a los ciudadanos estar informados y evaluar mejor tales decisiones.
790,3,transparencia,A,como obligación de los órganos públicos y privados
945,1,transparencia,P,La información debe estar disponible y accesible para todos los ciudadanos
1075,1,transparencia,A,"Sin adornos, decir lo que es la verdad"
1428,1,transparencia,P,Referida a instituciones y organizaciones en general
1786,3,transparencia,A,Es necesarion para el buen funcionamiento del estado y las personas que integran nuestro país.
1964,1,transparencia,A,"En un país con crisis de desconfianza, debido a la corrupción, no sabemos en quien confiar.  Debe asegurarse la transparencia en todos los niveles para recomponer confianzas."
2391,2,transparencia,A,"A proponer ideas, al acceso a la información, a conocer lo que ocurre dentro de las empresas e instituciones"
2767,1,transparencia,A,"Pese a que la actual Constitución lo establece, es de suma importancia para el adecuado funcionamiento de la democracia. Debemos tener acceso a la información pública, informarnos."
3198,1,transparencia,A,importante para devolver la confianza a la sociedad
3645,1,transparencia,A,"ser consecuente y demostrar la transparencia a las personas de todo ámbito y reencantar a la sociedad, con ésta frase."
4203,1,transparencia,A,Garantizar un marco regulatorio que permita acceder a toda la información disponible del país.
4560,3,transparencia,A,EVITAR LA CORRUPCIÓN.
4585,1,transparencia,A,"Todos los actos del estado, las organizaciones, instituciones con interes publico. Publicidad de los actos del estado y las actividades de interes publico"
5120,4,transparencia,A,Cumplir las promesas de campaña y que no hayan sueldos tan altos en política.
5416,1,transparencia,A,Transparencia en el sector público y privado enfocada en evitar la corrupción.
5507,3,transparencia,A,Toda persona que ocupe un puesto público o participe de una empresa debe declarar públicamente su patrimonio y sus intereses.
5772,3,transparencia,A,El que todos tengamos acceso a la información es una herramienta fiscalizadora inmediata y poderosa que permite fiscalizar el actuar de los políticos. Además deben facilitar canales para acceder a la información con fines de investigación.
5775,1,transparencia,A,"Para evitar la discrecionalidad y el mal uso de fondos públicos, evitando manejos fraudulentos."
6012,3,transparencia,A,para los tratos ilegitimos que se han vislumbrado en la actualidad en las clases sociales y politicas.
8245,1,transparencia,A,"Entregar información a todos, nos permite que todos tengan acceso al poder."
8249,1,transparencia,A,"Que los representantes cumplan con lo que los hizo postularse, para dirigir a un bien común. Que las decisiones sean de conocimiento público."
8363,1,transparencia,A,Para romper la concentración del poder. Que uno como ciudadano pueda fiscalizar de forma efectiva en qué aspectos se están gastando nuestros impuestos. Y la Transparencia provista de una forma autónoma nos dé el camino para recuperar la confianza.
8492,1,transparencia,A,"DICE RELACION CON PROBIDAD Y PUBLICA INFORMACION SIN SECRETISMOS, ALTA SANCION PENAL Y PECUNIARIA."
8774,1,transparencia,A,Una mayor transparencia generaría un mejor trabajo hacia una claridad en el desarrollo
9147,1,transparencia,A,En todo acto privado o del estado que afecte a la ciudadanía.
9895,1,transparencia,A,Transparencia y probidad de figuras públicas. En la era de la información están más expuestos que nunca con una ciudadanía muy empoderada.
10253,2,transparencia,A,"Todas las personas tienen derecho a tener información transparente, proveniente de todas las instituciones , tanto públicas como privadas."
11239,1,transparencia,A,Se remite al punto de probidad.   .
11330,3,transparencia,A,"La forma de control necesaria para asegurar el bien funcionar del gobierno, las instituciones y las empresas y organizaciones en favor del Bien Común."
11995,3,transparencia,A,"Personas naturales, jurídicas y el Estado, deben entregar en forma transparente toda información relevante, sin que ello merme el derecho a la privacidad."
12104,3,transparencia,A,"Ya sea a nivel empresarial o estatal, donde la carga impositiva sea equitativa a las ganancias de las empresas."
12381,1,transparencia,A,"Cambiar el sistema actualmente burocratiza y no garantiza que se realicen malas prácticas, dolos, hurtos, malversación de fondos."
12543,3,transparencia,A,Cada persona u organización que opere en el territorio nacional deberá entregar cualquier información sobre sus intereses y actividades que pudieran afectar los derechos de otros o al bien común. Los miembros de los poderes del Estado o FF.AA. estarán sujetos a mecanismos que aseguren la probidad
12623,2,transparencia,A,Se debe exigir a las autoridades cuentas permanentes de su que hacer
12891,1,transparencia,A,"Se individualiza este término, debido a que se considera que la publicidad es un término jerárquico y mercantilista."
12900,2,transparencia,A,"Fácil acceso a la información pública como derecho y oportunidad. Honestidad en el actuar, sin ocultar información."
13010,3,transparencia,A,transparentar todo acto de gobierno (instituciones) competente a la ciudadanía y políticas públicas
13183,1,transparencia,A,"Libre acceso a la información, difusión (transparencia activa)  Fiscalización ciudadana  y delimitación de funciones en el ámbito público."
13575,3,transparencia,A,En todo.
13763,1,transparencia,P,"En relación a la honestidad como justificacion de las acciones que se llevan a cabo en el ambito publico, tomando gran importancia la probidad, el acceso a la informacion y etica."
14961,4,transparencia,A,todo el mundo fiscal o que se relaciones con bienes fiscales debe ser observado sin cortapisas y debe existir reglas para remover y enjuiciar a cualquiera. se deben señalar claramente inhabilidades para funcionarios públicos y privados para que no se vinculen mas a lo publico.
15291,1,transparencia,A,Dado los últimos acontecimientos. se necesita transparencia a nivel  de todos los estamentos para volver a generar confianza en la cuidadania y que esta marque personas integras que esten a cargo de la conduccion de nuestro pais.
15363,1,transparencia,A,"Base de la probidad, limita la corrupción y es un requisito básico para consolidar el respeto por las autoridades, que han demostrado no ser capaces de realizarlo solas. La constitución debe exigir transparencia a todo nivel en el estado y las empresas privadas."
15373,1,transparencia,A,"En política y educación principalmente y también en todas las leyes que nos rijas, debe haber transparencia de información."
15824,3,transparencia,A,Exigimos que exista un Estado probo y transparente en toda índole.
