idEla,tema,concepto,acuerdo,fundamento
33,1,transparencia_y_publicidad,A,"mas claridad en la política, en cuanto a sus funciones. que la probidad y la transparencia no sea algo que debamos exigir, si no algo que debamos aprender de los políticos."
55,1,transparencia_y_publicidad,A,Sin comentarios
59,1,transparencia_y_publicidad,P,Son necesarias para  construir una sociedad donde exista la confianza y la credibilidad sobre todo en lo que significa el acceso a los cargos públicos de un país.  Que las personas tengan una preparación acorde a rol que participaran más allá de su formación académica.
68,1,transparencia_y_publicidad,A,Considerando que estamos viviendo  en un sistema político y económico neoliberal  de mercado  es indispensable que se fomente  y garantice la transparencia. Como un factor fundamental  para garantizar la fiscalización y control para evitar  la corrupción y mal uso de los recursos  de todos.
76,1,transparencia_y_publicidad,A,acceso democrático a la información.
108,1,transparencia_y_publicidad,P,"Nuestra constitución deberá valorar y tener como principió fundamental  la transparencia creando organismos independientes que lo garanticen y que regulen los medios de comunicación, como la difusión manteniendo el respeto de todas las personas."
129,1,transparencia_y_publicidad,A,"Se busca mayor conocimiento respeto a los actos de autoridades y ciudadanos, y sean de conocimiento público para una mejor resolución"
153,1,transparencia_y_publicidad,A,"Para que sea un país transparente a todo nivel, en que los ciudadanos veamos donde va cada dinero enviado por el gobierno y si se gasta todo en lo que se dice"
243,1,transparencia_y_publicidad,A,"Queremos que nuestras instituciones y representantes actuen con transparencia y honestidad, y que tengamos acceso a toda la información que sus actos se desprenda."
250,1,transparencia_y_publicidad,A,"Este valor debe ser transversal e inspirar los actos públicos y privados, dado que el conocimiento y entendimiento de la información por parte de la ciudadanía genera confianza en las instituciones. Proponemos que si el valor de transparencia y publicidad es transgredido, sea considerado un atentado a la fe pública y debe ser sancionado de manera ejemplar."
262,1,transparencia_y_publicidad,A,Creemos en la transparencia como garante de la democracia y el estado de derecho
287,1,transparencia_y_publicidad,A,Mecanismo de control de la probidad. Vía para la democracia y control público.
309,1,transparencia_y_publicidad,P,"creemos que se debe consagrar como un principio básico el actuar con transparencia, sobre todo si se tiene un cargo público."
340,1,transparencia_y_publicidad,A,"Que los Gobiernos den cuenta de todos sus actos y ser transparentes en el usos de los dineros , que todos los ciudadanos tengamos accesos a la verdadera información publica sin maquillaje con errores y aciertos  , libertad de prensa y fin a lucro por favores políticos ."
362,1,transparencia_y_publicidad,A,"en todo acto , información gastos , desarrollo del pais en avances ,en la forma de informar y planificar"
421,1,transparencia_y_publicidad,A,Tener acceso a la información por todos los medios de comunicación
426,1,transparencia_y_publicidad,A,"Porque el Estado debe hacer un uso cuidadoso de los recursos de todos los chilenos,y por lo mismo hacerse responsable y rendir cuenta frente a la ciudadanía de sus decisiones que se toman dentro de la administración del Estado."
430,1,transparencia_y_publicidad,A,"PRINCIPIO ENFOCADO A QUE LOS ACTOS DE LAS AUTORIDADES COMUNALES, PROVINCIALES, REGIONALES Y NACIONALES TIENEN QUE DAR CUENTA DE SUS ACTOS EN EL EJERCICIO DE SUS CARGOS. CUENTAS QUE DAN A LA COMUNIDAD DEBEN SER PÚBLICAS Y DETALLADAS."
440,1,transparencia_y_publicidad,A,"Actualmente la transparencia política e institucional está siendo cuestionada por la ciudadanía. Con transparencia garantizada en la Constitución, evitaremos abusos de poder y a la ciudadanía nos empodera para exigir mayor acceso cualquier tipo de información que nos competa como ciudadanos/as."
502,1,transparencia_y_publicidad,A,Hay desconocimiento de cómo se invierte y a quienes llegan los recursos de todos los chilenos.
535,1,transparencia_y_publicidad,P,derecho al acceso de información.
551,1,transparencia_y_publicidad,A,"LA GENTE DEBE ESTAR INFORMADO DEL ACONTECER CIUDADANO. DEBE NECESARIAMENTE FORMARSE POR INTERMEDIO DE LOS COLEGIO DE EDUCACION CIVICA, PARA PARTICIPAR Y TENER OPINION EN EL ACONTECER LOCAL , REGIONAL Y NACIONAL."
554,1,transparencia_y_publicidad,A,"Los medios muestran lo que quieren, información está manipulada.  Que TVN vuelva a ser canal público."
569,1,transparencia_y_publicidad,A,todos debemos saber en qué y cómo se gastan los recursos del estado. Acceso a la Información
579,1,transparencia_y_publicidad,P,Mostrar la verdad en todo tipos de medios de comunicación
590,1,transparencia_y_publicidad,D,"Actuar sin segundas intenciones, transparentando a la Autoridad"
595,1,transparencia_y_publicidad,A,"Se difunde la información de forma incorrecta y se corrompe, incluso sale a luz distorsionando la realidad y dando sólo una fracción de información real"
613,1,transparencia_y_publicidad,A,medios de comunicación mas autónomos libertad de expresion
636,1,transparencia_y_publicidad,A,"que la constitución y todas sus leyes sean transparentes y publicas, ojala en un lenguaje poco engorroso, comprensible para todas y todos los que conformamos Chile. En todas sus diversidades."
660,1,transparencia_y_publicidad,A,"Que el Estado sea claro y que no se esconda información. Así, no sucederá corrupción y la pérdida de conciencia."
663,1,transparencia_y_publicidad,P,Acuerdo en que la transparencia es un valor importante para la democracia pero algunos sostienen que no todo puede ser público y que hay cosas que deben ser secreto de Estado.
666,1,transparencia_y_publicidad,A,Porque tenemos derecho a saber como se administran las finanzas del país.
675,1,transparencia_y_publicidad,P,El estado debiera facilitar el acceso a todos para estar enterado del quehacer del Gobierno al pueblo.
704,1,transparencia_y_publicidad,A,Para evitar abusos y corrupción.
708,1,transparencia_y_publicidad,A,QUE EXISTA TRANSPARENCIA TANTO EN LO PRIVADO COMO LO PUBLICO Y QUE SE PUBLIQUE LO QUE SEA DE REAL IMPORTANCIA PARA LA SOCIEDAD
720,1,transparencia_y_publicidad,P,"Faltan mecanismos que aumententesla transparencia, tan necesaria para lograr la confianza en nuestra democracia."
721,1,transparencia_y_publicidad,A,Que toda instalación de empresas y actividades humanas que involucre al Medio Ambiente debe ser debidamente publicitado y con consulta ciudadana para la ejecución.
762,1,transparencia_y_publicidad,A,"Consideramos que es muy importante, que se comunique y que estemos al tanto de todo lo que ocurre en nuestro país y más aún de la constitución, saber en que consiste y que se aplique. Que la información a través de los medios de comunicación se transmita sin omisiones."
801,1,transparencia_y_publicidad,A,Se requiere para poder validar los procesos ya que de la transparencia se pueden evaluar los resultados ya que sin transparencia no se puede mejorar.
811,1,transparencia_y_publicidad,A,"CONCEPTO QUE LOS RECURSOS FISCALES SON DE TODOS LOS CHILENOS,  INCLUYÉNDONOS,  QUE LOS SUELDOS E INVERSIONES PUBLICAS DEBEMOS SABER EN QUE SE GASTAN Y ES MÁS DEBEMOS TENER INJERENCIA Y ESTAR DE ACUERDO CON LOS MISMOS. ES IMPOSIBLE QUE LOS DIPUTADOS SE SUBAN SUS SUELDOS SIN PREGUNTARNOS."
813,1,transparencia_y_publicidad,A,lo mas cuestionado hoy es esto. debemos ser transparentes para que el pueblo crea en sus instituciones
828,1,transparencia_y_publicidad,A,"DAR A CONOCER FUNCIONES,SUELDOS, DE LAS AUTORIDADES. PROTEJER LA INTIMIDAD DE LAS PRSONAS (EMPRESAS,BANCOS,ETC.)"
866,1,transparencia_y_publicidad,P,"Demostrar los actos de los gobernantes públicamente, para así poder evaluarb su desempeño en el cargo. Debe garantizar la probidad."
867,1,transparencia_y_publicidad,A,"Que todo lo que se gestione en el sector público sea transparente y sea público, de libre acceso por todos"
871,1,transparencia_y_publicidad,A,Debe ser igual el acceso a la transparencia y debe ser igual para todas las instituciones.
891,1,transparencia_y_publicidad,P,"Para prevenir la falta de probidad, evitar la corrupción, entre otros."
918,1,transparencia_y_publicidad,P,"10 en desacuerdo Vivir informados, que el pueblo se entere de lo que esta pasando y que nada sea escondido para una mejor convivencia, confianza e interaccion"
922,1,transparencia_y_publicidad,A,Declaración de Patrimonio en el comienzo y fin de ejercicio
929,1,transparencia_y_publicidad,A,Chile debe ser transparente en todo ámbito y sin ocultar ningún tipo de información hacia la ciudadanía
939,1,transparencia_y_publicidad,A,Principio que promueve la honestidad y probidad en  las acciones que afectan a las personas.
973,1,transparencia_y_publicidad,A,Hacerse cargo de la información objetiva y difusion del que hacer nacional
1006,1,transparencia_y_publicidad,A,garantizar el libre acceso a la informacion.
1025,1,transparencia_y_publicidad,A,Claridad en las personas que nos dirigen Politicamente y Socialmente.
1031,1,transparencia_y_publicidad,A,transparencia en los medios de comunicación masivos/ medios de comunicación realmente estatales.
1039,1,transparencia_y_publicidad,P,Importante para crear confianza y difundir información
1041,1,transparencia_y_publicidad,A,• Que lo que se comunique sea real y comprobable. • Con acceso a la  ciudadana.
1105,1,transparencia_y_publicidad,A,que la informacion sea veras y oportuna que no confundan lo que se esta publicando y a la hora de comprar es otra la realizad osea publicidad engañosa
1124,1,transparencia_y_publicidad,A,"Por una necesidad de país, principalmente por la realidad actual, debe establecerse como un principio para que todos compitamos en diferentes áreas con las mismas condiciones."
1144,1,transparencia_y_publicidad,A,Poner fín al intervencionismo en la información que llega a la comunidad.
1153,1,transparencia_y_publicidad,D,"Se debate respecto a la necesidad de dar una respuesta a la  transparencia, del que se observa un fortalecimiento a través de la ley de transparencia. Surgen cuestionamientos respecto a la real aplicación."
1156,1,transparencia_y_publicidad,A,"El grupo lo considera importante, pero lo conciben junto a mecanismos de participación real (conocer la información y cómo se acede a ella)."
1171,1,transparencia_y_publicidad,A,desde el gobierno y entidades públicas a los ciudadanos sobre leyes.
1177,1,transparencia_y_publicidad,A,para que el estado e instituciones publicas den cuenta su accionar a la comunidad
1185,1,transparencia_y_publicidad,P,"Existe una diferencia de opinión entre Transparencia y Publicidad, siendo más importante la Transparencia."
1188,1,transparencia_y_publicidad,A,"Debe ser menester del estado demostrar o reflejar el malestar de los ciudadanos, ya sea para bien o para mal, es decir, uso verídico y responsable por parte de las instituciones."
1207,1,transparencia_y_publicidad,A,La mayoria  estuvo de acuerdo
1211,1,transparencia_y_publicidad,P,Frente a todo lo acontencido en el ultimo tiempo referentes a gastos y pagos falsos creemos necesario regular estas practicas
1235,1,transparencia_y_publicidad,A,"los gobiernos deben ser trasparentes informando antes de gastar los dineros, informar publicitar los proyectos que se ejecutaran"
1240,1,transparencia_y_publicidad,A,"Acordamos que este valor es indispensable para que la sociedad pueda participar democráticamente en base a la información clara, precisa, fidedigna del funcionamiento y supervisión de todos las instituciones del estado y los participantes de ellas."
1249,1,transparencia_y_publicidad,A,"Este es un valor que debiese estar en nuestro adn social, el amor por el servicio pùblico se debe pagar, pero no para la ayuda de enriquecer a quien opte un cargo, sino que como una forma de retribuciòn a la labor desempeñada, y toda esta situaciòn debe ser de conocimiento pùblico."
1266,1,transparencia_y_publicidad,A,"Todo orden de cosas para que haya una mejora de los políticos, derechos y deberes."
1313,1,transparencia_y_publicidad,A,No debe guardarse la información relevante por conveniencia de algunos.-
1327,1,transparencia_y_publicidad,A,"La constitución debe velar por el derecho de ser informado, y el deber de las instituciones públicas, tanto públicas como privadas de promover y de informar a todos los ciudadanos y ciudadanas."
1333,1,transparencia_y_publicidad,A,"Permite que la población se informe, lo que incide positivamente en la toma de decisiones."
1376,1,transparencia_y_publicidad,A,"POSIBILITA LA CONFIANZA. TENER ACCESO A LA INFORMACION, ESPECIALMENTE EN MANEJO DE RECURSOS Y DINERO. VA LIGADA A LA HONRADEZ."
1378,3,transparencia_y_publicidad,A,que se publique la verdad sobre los hechos en forma fidedigna
1446,1,transparencia_y_publicidad,A,ES LO QUE MENOS HAY EN ESTOS MOMENTOS
1451,1,transparencia_y_publicidad,A,"Poco conocimiento sobre el actuar de las autoridades lleva a que nos ""metan el dedo en la boca"". Nuestro aporte vía impuestos al país debe quedar claro en cómo se gastan estos recursos. Las personas deberían ser capaces de tener accesibilidad a esta información sin trabas. Bajar la corrupción."
1463,1,transparencia_y_publicidad,A,"Que se aplique realmente La “Ley de Transparencia” a todas las personas que tienen cargos de representación dados por elección popular o por un determinado gobierno. Que la  Contraloría General de la República actué como un organismo controlador, fiscalizador y sancionador."
1479,1,transparencia_y_publicidad,A,Entendida como la necesidad que la sociedad conozca y tenga acceso a la información y la toma de decisiones de los poderes del estado.
1488,1,transparencia_y_publicidad,A,"Transparencia en el uso de los recursos públicos, en el financiamiento de campañas políticas, etc."
1491,1,transparencia_y_publicidad,A,reconocimiento de que los medios de comunicación cumplen un rol esencial en la democracia y por tanto son responsables de la buena información a la ciudadanía.
1499,1,transparencia_y_publicidad,A,Un participante señala que debe protegerse a las personas naturales y consagrarse excepciones.
1509,1,transparencia_y_publicidad,A,Es importante que exista una transparencia en cuanto a la información que entrega el gobierno.
1513,1,transparencia_y_publicidad,A,permitir que pueda controlar a todos los que ejerzan el poder que sean elegidos por el pueblo a ser investigado de acuerdo a la transparencia e información
1515,1,transparencia_y_publicidad,A,Que se informe en que se gastan los recursos públicos y se transparenten los sueldos de los parlamentarios
1535,1,transparencia_y_publicidad,A,Que la publicidad alcance todo el actuar del Estado de forma efectiva y se facilite el acceso a todas las personas. Las autoridades deben publicar opiniones y decisiones  por medios accesibles a todos Transparentar el patrimonio  de autoridades civiles y militares antes y después del mandato
1536,1,transparencia_y_publicidad,A,"Ello permitirá el control ciudadano que pueden reducir el elitismo e individualismo de los grupos de poder. Transparentar todas las acciones del aparato público, reduciendo la privacidad de los que tienen algún grado de poder."
1557,1,transparencia_y_publicidad,A,No lo fundamentamos
1559,1,transparencia_y_publicidad,A,"Que se obligue a dar la información a la ciudadania.al cien por ciento del tema con profundidad, de transparencia,mas allá de la ley existente, sin corte editorial ,sin opiniones de sectores,demanera clara y con llegada al ciudadano con."
1569,1,transparencia_y_publicidad,A,La NC debe hacer exigible que toda autoridad debe actuar con toda la transparencia posible en el ejercicio de sus tareas.
1596,1,transparencia_y_publicidad,A,Debido a la falta de transparencia de parte de las autoridades públicas y políticas en su gestión(ej: la dudosa administración por parte de las FF.AA de los dineros fiscales entregados por la ley reservada del cobre.
1599,1,transparencia_y_publicidad,A,"En las finanzas, en la bolsa de valores, en las FFAA, Carabineros y PDI; en los bancos, en las utilidades publicas, empresas y particulares. En las instituciones Políticas."
1602,1,transparencia_y_publicidad,A,"Es importante que haya transparencia y publicidad en todos los ámbitos, ya que las personas transparentes son empáticas y justas con los demás. Esto debiera replicarse en todos los niveles de la sociedad."
1611,1,transparencia_y_publicidad,A,Como ciudadanos tenemos dereco a saber lo que sucede en nuestro gobierno sin secretos
1613,1,transparencia_y_publicidad,A,"Las decisiones se deben manifestar para no tener ideas erróneas. No sólo es en el ámbito político, debe ser en todas las áreas."
1623,1,transparencia_y_publicidad,A,"Que la honestidad guié a las instituciones, otorgando seguridad a la población."
1630,1,transparencia_y_publicidad,A,LOS Y LAS FUNCIONARIAS Y/O REPRESENTANTES DEL ESTADO DEBEN SER TRANSPARENTES CON SUS ACCIONES Y EN SUS DECISIONES.
1651,1,transparencia_y_publicidad,A,asd
1667,1,transparencia_y_publicidad,D,"considera muy importante para aceptar al otro,para tener libertad de manifestar ideas.Es una forma de respetar los derechos del otro.Hay otra postura que dice que no se puede cambiar la forma de pensar de las personas  y para lograrlo es necesario con la educación.No debe estar en la constitucion"
1676,1,transparencia_y_publicidad,A,A
1698,1,transparencia_y_publicidad,A,"Asegurar buenas prácticas, base de la verdad. Información fidedigna como base de la confianza ciudadana en los procesos país."
1718,1,transparencia_y_publicidad,A,"Porque debe ser esencial y puesto en practica , sobre todo en el ámbito político y publico."
1724,1,transparencia_y_publicidad,A,Los servicios del estado deben transparentar toda su información.
1728,1,transparencia_y_publicidad,A,En la medida que la constitución resguarde este principio tendremos un país con cada vez menos corrupción
1742,1,transparencia_y_publicidad,A,A raíz de los contenidos de corrupción se llega a la conclusión que la transparencia es un contenido transversal
1744,1,transparencia_y_publicidad,A,se requiere transparencia en la información y los acontecimientos a nivel nacional
1777,1,transparencia_y_publicidad,A,que el gobierno sea transparente en las situaciones actuales y hagan publico lo que esta sucediendo
1781,1,transparencia_y_publicidad,A,"Permite evitar la corrupción, implica el acceso público a la información; es clave también la transparencia institucional. La transparencia es clave para el funcionamiento de la democracia. Tiene que ver con la objetividad de los medios de comunicación, es un deber para los políticos."
1809,1,transparencia_y_publicidad,A,"Dado los últimos hechos acaecidos (Penta, Soquimich, Caval, etc), es fundamental que la transparencia sea una exigencia para todos quienes manejen fondos públicos y que las prácticas y controles sean eficientes, rigurosos y públicos."
1816,1,transparencia_y_publicidad,A,que se facilite y garantice todos los procesos que involucre al estado y todos los poderes del estado
1829,1,transparencia_y_publicidad,A,.
1859,1,transparencia_y_publicidad,A,el gobierno debe dar cuenta de los dineros ocupados por los distintos ministerios informando al país
1872,1,transparencia_y_publicidad,A,la unica forma de recuperar la confianza en nuestro pais (gobierno)
1880,1,transparencia_y_publicidad,A,Control de las autoridades
1893,1,transparencia_y_publicidad,A,"El gobierno debería ser mas transparente con el pueblo, y así acabar con la corrupción y la falta de información"
1900,1,transparencia_y_publicidad,A,Terminar con acuerdos entre cuatro paredes y manipularnos con la informacion.
1908,1,transparencia_y_publicidad,A,evitar corrupción
1929,1,transparencia_y_publicidad,A,Todos los gobiernos deben ser transparentes y publicar los cambios que se hacen con publicidad.
1944,1,transparencia_y_publicidad,A,"La inexistencia de medidas de transparencia, ha permitido que se produzcan las múltiples situaciones de abuso y corrupción que hemos conocido. Este es un principio fundamental en el que se debe fundar la democracia."
1969,1,transparencia_y_publicidad,A,"CLARIDAD, HONRADEZ, HONESTIDAD DE TODOS LOS ESTAMENTOS TANTO PÚBLICOS COMO PRIVADOS EN POS DEL BIEN COMÚN"
2086,1,transparencia_y_publicidad,P,"Se debe informar a la comunidad de lo que se está haciendo en nuestro país, hacer uso de los medios de comunicación para difundir y así exista mayor claridad."
2158,1,transparencia_y_publicidad,A,el pueblo chileno tiene el derecho de conocer todo lo que ocurre en su naciòn
2193,1,transparencia_y_publicidad,P,Hay que saber quién nos está mandando. Importante estar informado para dar nuestra opinión
2194,1,transparencia_y_publicidad,A,"Debe existir pluralismo en los medios, para ello se tiene que terminar la concentración de los mismos. Evita manipulaciones y malas prácticas que no promueven el bien común, la paz social y el respeto. La publicidad debe ser respetuosa no estereotipar a personas y promover la dignidad humana."
2195,1,transparencia_y_publicidad,P,Todo sea lo mas claro para todos los ciudadanos y no exista un desbalance hacia grupos con mayor poder o con intereses creados.
2212,1,transparencia_y_publicidad,A,"NADIE DEBE PODER ABUSAR DE SU POSICION, POR LO QUE LA TRANSPARENCIA ES FUNDAMENTAL"
2233,1,transparencia_y_publicidad,A,Existiendo una real transparencia y publicidad daría paso a un mayor desarrollo nacional e individual. y así crearía un mayor interés de la población hacia su nación.
