idEla,tema,concepto,acuerdo,fundamento
85,4,tribunal_constitucional,A,Como contralor constitucional llamado a velar por que la producción normativa sea constitucional.
106,4,tribunal_constitucional,A,"Variar la composición del Tribunal Constitucional por un número impar, además se debe variar y democratizar su sistema de elección."
162,4,tribunal_constitucional,A,Definir de manera más sensata ( como en otros países) el rol que ejerce el tribunal en la constitución.
168,4,tribunal_constitucional,A,"Debe existir, con funcionarios elegidos por elección popular y limitar sus funciones y atribuciones."
178,4,tribunal_constitucional,A,"Debe terminar, es un resabio de la dictadura, se ha constituido en una especie de nuevo parlamento"
220,4,tribunal_constitucional,A,Debe ser independiente. Debe velar por el apego a la Constitución de las leyes y decretos.
246,4,tribunal_constitucional,A,Revisar atribuciones
283,4,tribunal_constitucional,P,Cambio de elección de los integrantes
297,4,tribunal_constitucional,A,"Garante del principio de primacia constitucional, del principio de legalidad y del libre y seguro ejercicio de los derechos y garantias constitucionales, debiendo protejer y sancionar a los tres poderes del Estado cuando corresponda."
423,4,tribunal_constitucional,A,Reformarse su organica y forma de elección. Respecto a sus funciones no debiera regular cuestiones de fondo. que no sea una tercera cámara del congreso.
426,4,tribunal_constitucional,A,"Importante que siga existiendo esta Institución porque permite que la deliberación legislativa se ajuste a la Constitución, reguardando la primacía de esta por sobre los órganos de Gobierno y las leyes asociadas a éstos."
479,4,tribunal_constitucional,D,.
520,4,tribunal_constitucional,A,Su actuar no debe ir en contra de la voluntad popular.
571,4,tribunal_constitucional,A,Es el garante final de que tanto el Congreso Nacional  como la Presidencia de la República respeten la  Constitución y los derechos de las personas.
671,4,tribunal_constitucional,A,Debe estar establecido en la constitución y podría participar en un proceso de un juicio político.
682,4,tribunal_constitucional,P,Evaluar existencia y autonomía de este organismo.
924,4,tribunal_constitucional,A,No puede haber un suprapoder  no elegido por  encima de los poderes electos. Debe terminarse el actual y no existir
1027,4,tribunal_constitucional,A,acuerdo completo
1108,4,tribunal_constitucional,A,Este tribunal es muy importante para que el Congreso y la Presidencia de la República respeten la Constitución
1133,4,tribunal_constitucional,A,Menos poder y compuesto por personas del mundo académico
1228,4,tribunal_constitucional,A,Eliminarlo. No debe constituir un nuevo poder del Estado.
1308,4,tribunal_constitucional,A,Eliminación
1327,4,tribunal_constitucional,A,Consideramos que debe residir y depender de la corte suprema.
1351,4,tribunal_constitucional,A,"Eliminarlo o por lo menos revisar y reformar su funcionamiento y atribuciones, algunas de ellas consideradas como antidemocráticas"
1520,4,tribunal_constitucional,A,• Eliminar Tribunal Constitucional  Ahorro de tiempo y dinero
1614,4,tribunal_constitucional,A,Eliminar el poder de veto de la soberanía popular.
1708,4,tribunal_constitucional,A,Con control constitucional preventivo de todas las leyes
1715,4,tribunal_constitucional,A,Es quien garantiza el cumplimiento de la Constitución por parte del Congreso Nacional y Presidente de la Republica
1716,4,tribunal_constitucional,A,Organismo autónomo independiente que vele por la constitucionalidad de las leyes.
1860,4,tribunal_constitucional,A,Esperamos que pudiese asegurarse su idoneidad para el cargo.
1880,4,tribunal_constitucional,A,Independiente del poder politico
2015,4,tribunal_constitucional,A,Debe existir como recurso último que se tiene para zanjar aspectos relacionado con la legitimidad de las leyes y su aplicación. No debe ser politizado y contar con atribuciones suficientes y determinantes para cumplir su labor.
2031,4,tribunal_constitucional,A,"Que se mantenga el control preventivo de las leyes desarrollado por éste. Que siga estando conformado por miembros de la Corte Suprema, acreditando una mayor independencia política."
2130,4,tribunal_constitucional,A,Es el garante final de que tanto el Congreso Nacional    como la Presidencia de la República respeten la    Constitución y los derechos de las personas.
2136,4,tribunal_constitucional,A,La constitucionalidad de las Leyes  y actos del Estado deben ser revisados  previa asu implementación  o a su aplicación
2149,4,tribunal_constitucional,A,Garantizar una integración democrática y mas representativa de la sociedad chilena en el Tribunal Constitucional
2171,4,tribunal_constitucional,A,FISCALIZADOR Y CONTROLADOR DE LAS LEYES. ES IMPORTANTE QUE LA COMPOSICIÓN SEA MÁS TÉCNICA Y NO POLÍTICA.
2310,4,tribunal_constitucional,A,Redefinir sus funciones para proteger esta Constitución y replantear su forma de elección.
2408,4,tribunal_constitucional,A,"Que este tenga mayor atribuciones para derogar leyes, que estén vinculadas a situaciones ilícitas en su formulación y ejecución."
2475,4,tribunal_constitucional,A,Con miembros elegidos por el pueblo.
2482,4,tribunal_constitucional,A,Demasiado poder de veto de los otros poderes.Debe fiscalizar al poder ejecutivo el uso de la fuerza Publica.
2521,4,tribunal_constitucional,D,Deben ser los tribunales de justicia quienes juzguen la justicia constitucional.
2572,4,tribunal_constitucional,A,Es el garante final que todos los organismos del Estado cumplan las leyes
