idEla,tema,concepto,acuerdo,fundamento
571,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle rango constitucional. Sin competencia no hay una verdadera economía de mercado.
1108,4,tribunal_de_defensa_de_la_libre_competencia,A,Hay que proteger la competencia para que tengamos una verdadera economía de mercado. Por lo que es importante darle rango constitucional
1715,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle rango constitucional. Sin competencia no hay una verdadera economía de mercado.
2130,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle  rango constitucional. Sin competencia no hay una verdadera economía de mercado. Los oligopolios dañan el emprendimiento y la economía.
2160,4,tribunal_de_defensa_de_la_libre_competencia,A,"Deberia otorgarse rango constitucional a pesar de ser un organismo que vela por el desarrollo de la libre competencia, tal facultad no obsta para que también tenga la facultad de velar por el peligro de practicas monopólicas y alta concentración de capital y poder"
2773,4,tribunal_de_defensa_de_la_libre_competencia,A,Hay que darle rango constitucional. Sin competencia no hay una verdadera economía de mercado
3416,4,tribunal_de_defensa_de_la_libre_competencia,A,Hay que darle rango constitucional. Sin competencia no hay una verdadera economía de mercado
3717,4,tribunal_de_defensa_de_la_libre_competencia,A,Organismo fundamental que debe garantizar que no se generen casos de colusión.
3780,4,tribunal_de_defensa_de_la_libre_competencia,A,Los monopolios destruyen la libre competencia. Esto se debe defender la Constitución.
4251,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle rango constitucional. Sin competencia no hay una verdadera economía de mercado. Los oligopolios dañan el emprendimiento y la economía.
4335,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle rango constitucional. Sin competencia no hay economía de mercado
4904,4,tribunal_de_defensa_de_la_libre_competencia,A,Darle rango constitucional. Sin competencia no hay una verdadera economía de mercado. Los oligopolios dañan el emprendimiento y la economía.
5184,4,tribunal_de_defensa_de_la_libre_competencia,P,"Para Roberto Schwarzenberg existen otras prioridades como el Poder Judicial. Para el resto de los asistentes, este Tribunal es un ente fundamental para prevenir y corregir a tiempo los posibles atentados a la libre competencia."
6277,4,tribunal_de_defensa_de_la_libre_competencia,A,Hay que darle rango constitucional. Sin competencia no hay una verdadera economía de mercado
