idEla,tema,concepto,acuerdo,fundamento
24,1,unidad,A,mantener unido el territorio y el estado debe garantizar aquello
43,1,unidad,A,Hay que promover la unidad entre compatriotas
54,1,unidad,P,"La gran mayoría de los otros pensamos que la unidad hace la fuerza, creemos que trabajando unidos podemos lograr nuestros objetivos."
138,1,unidad,A,TRABAJAR FORTALECIMIENTO DE PERSONAS
151,1,unidad,A,Que la sociedad sea unida para tener mejores resultados
278,1,unidad,A,"que toda la sociedad se organice para vivir en un Chile tranquilo, sin delincuencia apoyando a las autoridades"
310,1,unidad,A,valor que necesita ser reforzado ya que sin unidad se es mas difícil llegar a acuerdos en sociedad.
469,1,unidad,A,cada persona se ve por si misma y son egoístas los políticos van por un lado y los ciudadanos por otro
572,1,unidad,A,creemos que la unidad es fundamental para un país y así evolucionar a un bien común
643,1,unidad,A,"los trabajadores que somos la inmensa mayoria sabemos lo que significa este valor, hace sentirnos más cercanos, como hermanos con intereses comunes"
968,1,unidad,A,"Ser capaces de trabajar por el bien común, entre las personas, partidos políticos e instituciones, no importando que haya diversidad de pensamiento. Hacer proyectos a largo plazo que trasciendan los periodos de los gobiernos de turno."
979,1,unidad,A,Para que el país tenga las mismas leyes y normas y sean cumplidas
1114,1,unidad,A,"Que se incentive este valor en la familia, en el colegio, en las comunas. Un país unido puede enfrentar cualquiér catástrofe natural o social"
1135,1,unidad,A,Unidad
1289,1,unidad,P,Juntos unidos se logren todos los objetivos
1855,1,unidad,A,Ser más unidos como sociedad en todo contexto.
1888,1,unidad,A,que Chile jamas deje de ser unido
2304,1,unidad,A,es fundamental para avanzar
2305,1,unidad,A,"PARA AVANZAR COMO PAÍS EN LOS DERECHOS SOCIALES, POLÍTICOS Y EL DESARROLLO"
2366,1,unidad,A,característica principal que debe poseer un pueblo para afrontar las adversidades y evolucionar en post de u futuro mejor.
2518,1,unidad,A,Es el poder contar con la gente.
2778,1,unidad,A,"Unidad como país, luchar por una misma causa ""la unidad hace la fuerza"""
2828,1,unidad,P,"La unidad permite el desarrollo del país hacia una condición de progresiva de calidad de vida o crecimiento económico para todos, en función que el país se construye en unidad entre sus ciudadanos y habitantes en general"
2918,1,unidad,A,"Cohesión de partidos por el bien común. Necesidad de unidad como país que queremos construir. Unidad de conceptos que sustentan a una sociedad, todos aportamos en algo. Dejar el individualismo y descentralizar el por el bien común."
2990,1,unidad,A,"Falta mas unión en el rubro a lo largo de nuestro país, y la unión permite ponerse en el lugar de otros"
3003,1,unidad,A,pilar fundamental para la constitución y pieza clave para salir del subdesarrollo
3144,1,unidad,A,Tomar decisiones respetuosamente por un bien común integrando a las minorías
3304,1,unidad,A,Para lograr los objetivos.
3498,1,unidad,A,"Debido a la delincuencia que existe en nuestro país, por la desconfianza."
3664,1,unidad,A,Debe reconocer a Chile como un país conformado por una sola nación.
3721,1,unidad,A,El país no debe estar desagregado debe existir unión territorial y social
3766,1,unidad,A,"Queremos un pais que nos de garantia sea el Gobierno que este de turno y que mire por el bien comun de todos los ciudadanos en lo politico, social y economico."
