idEla,tema,concepto,acuerdo,fundamento
291,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias."
571,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
1108,3,unidad_nacional_y_respeto_por_chile,A,Es fundamental resguardar el respeto por Chile y así mantener la Unidad Nacional
1715,3,unidad_nacional_y_respeto_por_chile,A,"Se debe  resguardar la unidad nacional y respeto por los símbolos patrios de todo tipo, pues los símbolos representan físicamente la chilenidad."
1864,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener  respeto por los símbolos patrios de todo tipo. Ello, pues los mismos  representan físicamente la chilenidad. Es la pertenencia a nuestra  Nación la que nos debe llamar a preocuparnos no sólo del devenir de  nuestras familias"
2130,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
2160,3,unidad_nacional_y_respeto_por_chile,A,"La nacion involucra el congregar distintas identidades, culturas, historias, que se entrelazan y fusionan logrando un cuerpo  societario con identidad propia amparados en una nacion.  Lo expresado precedentemente no hace inferir, la necesidad del respeto a los valores patrios, simbolos comunes...."
2572,3,unidad_nacional_y_respeto_por_chile,A,Se debe resguardar el respeto por los simbolos patrios y resguardar la unidad nacional
2773,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
3416,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
3780,3,unidad_nacional_y_respeto_por_chile,A,"Es un deber resguardar la unidad nacional, se debe enseñar el respeto por la historia, cultura, héroes, territorio y patrimonio."
4251,3,unidad_nacional_y_respeto_por_chile,A,"Todos debemos velar por la unidad nacional y el respeto por los símbolos patrios de todo tipo, pues ellos representan físicamente la chilenidad"
4335,3,unidad_nacional_y_respeto_por_chile,A,Se debe cuidar la unidad nacional y tener respeto por los símbolos patrios
4480,3,unidad_nacional_y_respeto_por_chile,A,Resguardar la unidad nacional y tener respeto por los símbolos patrios además se debe proteger  el territorio nacional.
4904,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás"
4935,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente a la nacion. Es pertener a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias sino de todos."
6151,3,unidad_nacional_y_respeto_por_chile,A,"•Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias sino también de todos los demás que viven junto a nosotros."
6277,3,unidad_nacional_y_respeto_por_chile,A,Se debe  resguardar la unidad nacional y tener respeto por los símbolos patrios
6641,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
7023,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
7037,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás"
7219,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos de nuestras familias"
7396,3,unidad_nacional_y_respeto_por_chile,A,"Se debe  resguardar y proteger  la unidad nacional y tener respeto por los símbolos patrios, pues representa la chilenidad"
7480,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias y demas"
7644,3,unidad_nacional_y_respeto_por_chile,A,"Es la pertenencia a nuestra nación., la que nos debe llamar no sólo a preocuparnos del devenir de nuestras familias, sino que de todos quienes viven junto a nosotros."
7891,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y  el respeto por los símbolos patrios
8223,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
8238,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
8877,3,unidad_nacional_y_respeto_por_chile,A,Respetar los símbolos patrios como representación de la chilenidad
9012,3,unidad_nacional_y_respeto_por_chile,A,Debe resguardarse la unidad e identidad nacional  y respetarse todos nuestros símbolos patrios
9215,3,unidad_nacional_y_respeto_por_chile,A,Se debe promover la unidad nacional y el respeto por los símbolos patrios
9676,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad."
9836,3,unidad_nacional_y_respeto_por_chile,A,"•Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias sino también de todos los demás que viven junto a nosotros."
9858,3,unidad_nacional_y_respeto_por_chile,A,"Se debe resguardar y respetar los símbolos patrios de todo tipo. La nación involucra la unión de distintas identidades, culturas"
10208,3,unidad_nacional_y_respeto_por_chile,A,"resguardar la unidad, defender el entorno y respetar símbolos patrios."
10404,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios  ya que éstos representan la chilenidad.
10446,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
10713,3,unidad_nacional_y_respeto_por_chile,A,"La Nación involucra congregar distintas identidades, culturas, historias que se  entrelazan, que se fusionan logrando un cuerpo societario con identidad propia, amparados en una nación. Es irrenunciable el respeto a los valores patrios, símbolos comunes, cultura popular que ampara a todos los ciu.."
10824,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
11252,3,unidad_nacional_y_respeto_por_chile,A,Resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo.
11284,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y respetar por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de nuestras familias sino también de todos los demás"
11630,3,unidad_nacional_y_respeto_por_chile,A,Se debe resguardar la unidad nacional y el respeto por todos los símbolos patrios y el deporte nacional
11633,3,unidad_nacional_y_respeto_por_chile,A,Es necesario resguardar la unidad nacional y el respeto por los símbolos patrios entendiendo nuestra pertenencia a la nación.
12000,3,unidad_nacional_y_respeto_por_chile,A,Se debe resguardar la unidad nacional y el respeto por los símbolos patrios de todo tipo.
12077,3,unidad_nacional_y_respeto_por_chile,A,Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios
12422,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
12641,3,unidad_nacional_y_respeto_por_chile,A,respetar y mantener nuestras tradiciones culturales y sociales
12960,3,unidad_nacional_y_respeto_por_chile,A,"se debe dar cuenta del deber de resguardar la unidad nacional u tener respeto por los simboles patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra nación la que nos debe llamar a preocuparnos  del devenir de nuestros familias y de los demás"
13014,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo. Ello, pues los mismos representan físicamente la chilenidad. Es la pertenencia a nuestra Nación la que nos debe llamar a preocuparnos no sólo del devenir de    nuestras familias sino también de todos los demás."
13298,3,unidad_nacional_y_respeto_por_chile,A,"Se debe dar cuenta del deber de resguardar la unidad nacional y tener respeto por los símbolos patrios de todo tipo, ya que  representan físicamente la chilenidad. El que incurre en falta tiene el deber de repararlo"
