idEla,tema,concepto,acuerdo,fundamento
57,3,voto_obligatorio,A,responsabilidad como ciudadano en elegir a sus representantes
75,3,voto_obligatorio,A,Es la única forma de expresar y elegir correctamente a sus gobernadores.
114,3,voto_obligatorio,A,Para que los ciudadanos se involucren con la política y los resultados sean más representativos.
130,3,voto_obligatorio,A,"Sufragio como un deber, inscripción automática sin desafiliación."
131,3,voto_obligatorio,A,debe ser un deber mas aún en una sociedad que garantiza la educación
154,3,voto_obligatorio,D,.
194,3,voto_obligatorio,P,Jose Rubio y Carolina no están de acuerdo.
202,3,voto_obligatorio,A,"Debemos asegurar y ejercer nuestras obligaciones ciudadanas, ejerciendo el deber y el derecho a votar. Participación."
207,3,voto_obligatorio,P,Por amplia mayoría se apoya la idea de regresar al voto obligatorio
222,3,voto_obligatorio,P,"Es una obligación ciudadana el participar en los procesos políticos, no puede ser solo un derecho."
229,3,voto_obligatorio,D,No todo el grupo creía en esa obligación.
238,3,voto_obligatorio,P,"aquí, hubo acuerdo parcial, la gran mayoría opinó que el voto debe ser obligatorio, otros señalan que debe ser voluntario."
239,3,voto_obligatorio,P,Observación: atentatorio contra la libertad; Cuestionamiento del concepto como propio de la democracia burguesa y neoliberal.
244,3,voto_obligatorio,A,"10 de 10 participantes votaron por esta preferencia, considerando de gran importancia que se incluya y considere un deber."
246,3,voto_obligatorio,A,Fracaso de participación con el voto voluntario
247,3,voto_obligatorio,P,"La mayoría (17 votos sobre 20) opina que el voto debe ser obligatorio, por cuanto el ejercicio de la participación democrática efectiva permite ser parte de los cambios que la sociedad y el estado requieren para una mayor equidad y justicia. DISIDENCIA:  El voto voluntario garantiza la libertad individual de elección."
252,3,voto_obligatorio,A,"La vida democrática requiere de la participación de todos los ciudadanos sin exclusión, por lo que este deber debe ser de cumplimiento obligatorio,  para así hacerse responsable de las decisiones."
273,3,voto_obligatorio,A,"Porque la politica afecta los distintos ámbitos de lo cotidiano, es importante involucrarse y votar."
283,3,voto_obligatorio,P,...
304,3,voto_obligatorio,P,Voto obligatorio con derecho a desafiliación de los registro electorales
385,3,voto_obligatorio,A,Ya que es importante que la ciudadanía participe mediante la votación democrática
401,3,voto_obligatorio,A,"Deber, derecho y obligación"
412,3,voto_obligatorio,P,"Algunos consideran que es fundamental para garantizar la democracia, pero la mayoría lo rechaza."
425,3,voto_obligatorio,A,deber que tiene cada ciudadano por el hecho de ser tal
468,3,voto_obligatorio,A,"El voto debe volver a ser obligatorio, la comunidad debe involucrarse en el proceso cívico del país y hacerse cargo de su realidad para el día de mañana no dedicarse solo a criticar."
510,3,voto_obligatorio,A,"Deber civico, participación"
542,3,voto_obligatorio,P,es el deber de todos los ciudadanos a participar integramente como ciudadanos incluyendo el voto.
595,3,voto_obligatorio,A,"Queremos agregar este concepto ya que realmente es un derecho y deber, sin embargo, la gente no se culturiza e informa y luego nada, alegan sobre las decisiones que se toman en el poder del estado."
609,3,voto_obligatorio,A,"Es deber y responsabilidad de los ciudadanos ejercer el sufragio para elegir a sus representantes y participar de la vida cívica. creemos que en este deber se incorpora el sufragio en plebiscito, referéndum, etc."
616,3,voto_obligatorio,A,Es un deber básico para que funcione la Democracia.
619,3,voto_obligatorio,A,"Cada ciudadano tiene el deber de participar, mediante sufragio en las elecciones."
629,3,voto_obligatorio,A,Participar en forma obligatoria en las convocatorias hechas por el estado o por la ciudadanía organizada.
