nombre,id,lat,lng,region,cantidadElas,poblacion
"Algarrobo",5602,-33.3647762,-71.6705534,"Región de Valparaiso",16,13472
"Alto Biobío",8314,-38.05,-71.316667,"Región de Biobío",3,10039
"Alto del Carmen",3302,-28.759444,-70.486667,"Región de Atacama",4,5488
"Alto Hospicio",1107,-20.2686722,-70.1049169,"Región de Tarapacá",30,94455
"Ancud",10202,-41.8675003,-73.8276965,"Región de Los Lagos",18,41960
"Andacollo",4103,-30.2357949,-71.0828027,"Región de Coquimbo",10,11116
"Angol",9201,-37.8060734,-72.7038047,"Región de La Araucanía",54,51136
"Antofagasta",2101,-23.6509279,-70.3975022,"Región de Antofagasta",268,348669
"Antuco",8302,-37.3313164,-71.6764277,"Región de Biobío",4,3774
"Arauco",8202,-37.2457765,-73.3166644,"Región de Biobío",16,41153
"Arica",15101,-18.4782534,-70.3125988,"Región de Arica y Parinacota",214,210936
"Aysén",11201,-45.0070278,-72.5102888,"Región de Aisén",39,27187
"Buin",13402,-33.7309374,-70.7423218,"Santiago",28,74232
"Bulnes",8402,-36.7421593,-72.3017718,"Región de Biobío",16,21542
"Cabildo",5402,-32.4258064,-71.0661621,"Región de Valparaiso",15,21094
"Cabo de Hornos",12201,-54.933333,-67.616667,"Región de Magallanes",10,1677
"Cabrero",8303,-37.0332999,-72.4,"Región de Biobío",8,29532
"Calama",2201,-22.4543923,-68.9293819,"Región de Antofagasta",179,147886
"Calbuco",10102,-41.7720156,-73.1327093,"Región de Los Lagos",11,34902
"Caldera",3102,-27.0667,-70.8178142,"Región de Atacama",12,16150
"Calera de Tango",13403,-33.6291031,-70.7686968,"Santiago",7,27781
"Calle Larga",5302,-32.857493,-70.6258069,"Región de Valparaiso",8,11110
"Camarones",15102,-19.0111932,-69.8654656,"Región de Arica y Parinacota",3,679
"Camiña",1402,-19.3116281,-69.4298687,"Región de Tarapacá",2,1156
"Canela",4202,-31.398889,-71.456111,"Región de Coquimbo",27,9182
"Cañete",8203,-37.8058201,-73.3919739,"Región de Biobío",28,33535
"Carahue",9102,-38.7088593,-73.1678812,"Región de La Araucanía",12,25718
"Cartagena",5603,-33.5482466,-71.6045745,"Región de Valparaiso",19,17029
"Casablanca",5102,-33.3190376,-71.4076318,"Región de Valparaiso",14,25165
"Castro",10201,-42.4801402,-73.7624137,"Región de Los Lagos",36,50764
"Catemu",5702,-32.7788041,-70.9627036,"Región de Valparaiso",9,13902
"Cauquenes",7201,-35.9676285,-72.3222331,"Región de Maule",58,40245
"Cerrillos",13102,-33.5041325,-70.7108995,"Santiago",57,79195
"Cerro Navia",13103,-33.4216593,-70.7346887,"Santiago",49,128090
"Chaitén",10401,-42.9167,-72.7167,"Región de Los Lagos",6,7122
"Chañaral",3201,-29.033333,-71.433333,"Región de Atacama",12,14146
"Chanco",7202,-35.7333,-72.5333,"Región de Maule",27,9571
"Chépica",6302,-34.7255387,-71.2725925,"Región de O'Higgins",7,15820
"Chiguayante",8103,-36.9532166,-73.017378,"Región de Biobío",45,115366
"Chile Chico",11401,-46.5409005,-71.7222795,"Región de Aisén",17,5334
"Chillán",8401,-36.6062618,-72.1023351,"Región de Biobío",164,175585
"Chillán Viejo",8406,-36.6291031,-72.1397968,"Región de Biobío",14,29199
"Chimbarongo",6303,-34.70924,-71.0412713,"Región de O'Higgins",18,35664
"Cholchol",9121,-38.6005906,-72.8411406,"Región de La Araucanía",5,10825
"Chonchi",10203,-42.6232593,-73.7738499,"Región de Los Lagos",6,14639
"Cobquecura",8403,-36.1386156,-72.7945218,"Región de Biobío",5,5173
"Cochamó",10103,-41.4923218,-72.3084312,"Región de Los Lagos",2,4326
"Cochrane",11301,-47.2535728,-72.5729823,"Región de Aisén",6,2759
"Codegua",6102,-34.0370319,-70.6728641,"Región de O'Higgins",10,12725
"Coelemu",8404,-36.4833,-72.7,"Región de Biobío",9,15461
"Coihueco",8405,-36.6291031,-71.8327093,"Región de Biobío",20,24714
"Coínco",6103,-34.2661579,-70.9593417,"Región de O'Higgins",3,7248
"Colbún",7402,-35.699248,-71.4146915,"Región de Maule",11,19361
"Colchane",1403,-19.7,-68.8833,"Región de Tarapacá",3,1384
"Colina",13301,-33.2044597,-70.6758505,"Santiago",68,113340
"Collipulli",9202,-37.9582687,-72.4321187,"Región de La Araucanía",15,21705
"Coltauco",6104,-34.2877978,-71.0855512,"Región de O'Higgins",7,17620
"Combarbalá",4302,-31.1790967,-71.0050958,"Región de Coquimbo",17,13818
"Concepción",8101,-36.8201352,-73.0443904,"Región de Biobío",285,227768
"Conchalí",13104,-33.3846893,-70.6800213,"Santiago",101,121118
"Concón",5103,-32.9239368,-71.5234793,"Región de Valparaiso",49,63210
"Constitución",7102,-35.3333,-72.4167,"Región de Maule",17,41416
"Contulmo",8204,-38.0149266,-73.2292878,"Región de Biobío",7,5188
"Copiapó",3101,-27.3665763,-70.3321587,"Región de Atacama",152,158261
"Coquimbo",4102,-29.9590009,-71.3389183,"Región de Coquimbo",129,202441
"Coronel",8102,-37.0340769,-73.1404838,"Región de Biobío",47,107508
"Corral",14102,-39.8885744,-73.4315987,"Región de Los Ríos",4,5084
"Coyhaique",11101,-45.5712254,-72.068265,"Región de Aisén",120,59221
"Cunco",9103,-38.9320562,-72.0279843,"Región de La Araucanía",11,19024
"Curacautín",9203,-38.4401849,-71.8876695,"Región de La Araucanía",15,15728
"Curacaví",13503,-33.3977192,-71.1275212,"Santiago",12,28439
"Curaco de Vélez",10204,-42.4405468,-73.6037069,"Región de Los Lagos",3,3884
"Curanilahue",8205,-37.4762431,-73.3421243,"Región de Biobío",24,33855
"Curarrehue",9104,-39.3616465,-71.5890276,"Región de La Araucanía",4,7540
"Curepto",7103,-35.0958545,-72.0208891,"Región de Maule",13,9714
"Curicó",7301,-34.9779853,-71.2528803,"Región de Maule",129,177766
"Diego de Almagro",3202,-26.3902488,-70.0475302,"Región de Atacama",33,16452
"Doñihue",6105,-34.228986,-70.9579288,"Región de O'Higgins",20,21023
"El Bosque",13105,-33.5630463,-70.6752134,"Santiago",139,162671
"El Carmen",8407,-36.9,-72.0333,"Región de Biobío",15,11830
"El Monte",13602,-33.6815281,-70.9853968,"Santiago",13,32468
"El Quisco",5604,-33.398596,-71.6981538,"Región de Valparaiso",10,15829
"El Tabo",5605,-33.4557162,-71.6669341,"Región de Valparaiso",10,11861
"Empedrado",7104,-35.589943,-72.2763046,"Región de Maule",4,4250
"Ercilla",9204,-38.0553156,-72.3833,"Región de La Araucanía",5,9148
"Estación Central",13106,-33.4590774,-70.6990045,"Santiago",101,119292
"Florida",8104,-36.8237875,-72.6684718,"Región de Biobío",7,9867
"Freire",9105,-38.9573,-72.6269289,"Región de La Araucanía",10,27616
"Freirina",3303,-28.512094,-71.0795967,"Región de Atacama",7,6531
"Fresia",10104,-41.15,-73.4163343,"Región de Los Lagos",7,12454
"Frutillar",10105,-41.116667,-73.05,"Región de Los Lagos",24,17756
"Futaleufú",10402,-43.1833,-71.8667,"Región de Los Lagos",5,1836
"Futrono",14202,-40.1245411,-72.3808496,"Región de Los Ríos",8,15811
"Galvarino",9106,-38.4088593,-72.7821187,"Región de La Araucanía",4,11324
"General Lagos",15202,-17.6533,-69.6347,"Región de Arica y Parinacota",1,739
"Gorbea",9107,-39.1005597,-72.67636,"Región de La Araucanía",14,15481
"Graneros",6106,-34.0666916,-70.7325646,"Región de O'Higgins",25,30372
"Hijuelas",5503,-32.7980018,-71.1437211,"Región de Valparaiso",6,19132
"Hualaihué",10403,-42.0216398,-72.6891622,"Región de Los Lagos",5,8426
"Hualañé",7302,-34.9725157,-71.7993371,"Región de Maule",4,9977
"Hualpén",8112,-36.7866757,-73.1099531,"Región de Biobío",46,86176
"Hualqui",8105,-36.9737875,-72.9368437,"Región de Biobío",4,21934
"Huara",1404,-19.9972461,-69.7718515,"Región de Tarapacá",5,2360
"Huechuraba",13107,-33.3742128,-70.6367425,"Santiago",67,87667
"Illapel",4201,-31.6308,-71.1653,"Región de Coquimbo",34,30598
"Independencia",13108,-33.4133469,-70.6662915,"Santiago",96,73874
"Iquique",1101,-20.2307033,-70.1356692,"Región de Tarapacá",230,184953
"Isla de Maipo",13603,-33.7464562,-70.9,"Santiago",19,33723
"Isla de Pascua",5201,-27.11299,-109.3495806,"Región de Valparaiso",8,5761
"Juan Fernández",5104,-33.7744303,-80.7768613,"Región de Valparaiso",1,792
"La Calera",5502,-32.7877958,-71.2039963,"Región de Valparaiso",30,55207
"La Cisterna",13109,-33.5264495,-70.6613511,"Santiago",71,80910
"La Cruz",5504,-32.8258069,-71.2273055,"Región de Valparaiso",11,17346
"La Estrella",6202,-34.2051972,-71.6547276,"Región de O'Higgins",3,4821
"La Florida",13110,-33.5226882,-70.5987142,"Santiago",311,397497
"La Granja",13111,-33.5377931,-70.620678,"Santiago",50,121214
"La Higuera",4104,-29.5119534,-71.2000844,"Región de Coquimbo",6,4331
"La Ligua",5401,-32.4499018,-71.2325958,"Región de Valparaiso",30,38524
"La Pintana",13112,-33.5855661,-70.6285838,"Santiago",75,202146
"La Reina",13113,-33.4411269,-70.5340591,"Santiago",288,91927
"La Serena",4101,-29.9026691,-71.2519374,"Región de Coquimbo",205,211275
"La Unión",14201,-40.2952749,-73.079328,"Región de Los Ríos",42,38544
"Lago Ranco",14203,-40.3211603,-72.4822123,"Región de Los Ríos",5,9380
"Lago Verde",11102,-44.2385218,-71.8511271,"Región de Aisén",3,925
"Laja",8304,-37.271425,-72.7194906,"Región de Biobío",10,20964
"Lampa",13302,-33.2827093,-70.879328,"Santiago",29,79421
"Lanco",14103,-39.4510195,-72.7796167,"Región de Los Ríos",9,16663
"Las Cabras",6107,-34.2932184,-71.3126292,"Región de O'Higgins",16,23857
"Las Condes",13114,-33.4087844,-70.567069,"Santiago",500,289949
"Lautaro",9108,-38.5084312,-72.4541343,"Región de La Araucanía",26,35451
"Lebu",8201,-37.6097143,-73.6483294,"Región de Biobío",18,25790
"Licantén",7303,-34.9852447,-71.984988,"Región de Maule",6,6689
"Limache",5802,-33.0095283,-71.2595888,"Región de Valparaiso",31,45864
"Linares",7401,-35.846407,-71.5996137,"Región de Maule",80,107311
"Litueche",6203,-34.117272,-71.725176,"Región de O'Higgins",6,5591
"Llaillay",5703,-32.844379,-70.942818,"Región de Valparaiso",11,23680
"Llanquihue",10107,-41.2606312,-73.0078406,"Región de Los Lagos",13,18151
"Lo Barnechea",13115,-33.352669,-70.518517,"Santiago",103,97230
"Lo Espejo",13116,-33.5139265,-70.6930841,"Santiago",61,99527
"Lo Prado",13117,-33.4442688,-70.7233493,"Santiago",125,94766
"Lolol",6304,-34.7284166,-71.6458243,"Región de O'Higgins",6,6630
"Loncoche",9109,-39.3681199,-72.6315127,"Región de La Araucanía",16,22191
"Longaví",7403,-35.9636265,-71.6831251,"Región de Maule",12,28968
"Los Álamos",8206,-37.6261237,-73.4622664,"Región de Biobío",10,20723
"Los Andes",5301,-32.8337995,-70.5972179,"Región de Valparaiso",91,110866
"Los Ángeles",8301,-37.4629159,-72.3612251,"Región de Biobío",106,195813
"Los Lagos",14104,-41.9197779,-72.1416132,"Región de Los Ríos",19,18733
"Los Muermos",10106,-41.3994093,-73.4649905,"Región de Los Lagos",8,16522
"Los Sauces",9206,-37.9791031,-72.8344812,"Región de La Araucanía",4,6490
"Los Vilos",4203,-31.9121865,-71.5112017,"Región de Coquimbo",33,18483
"Lota",8106,-37.0920575,-73.1545822,"Región de Biobío",15,48045
"Lumaco",9207,-38.1640201,-72.9031846,"Región de La Araucanía",9,10479
"Machalí",6108,-34.179452,-70.6565151,"Región de O'Higgins",50,44566
"Macul",13118,-33.4851471,-70.5992005,"Santiago",162,111436
