nombre,lat,lng,poblacion,area,region
Algarrobo,-33.3647762,-71.6705534,13472,176,Valparaiso
Alto Biobío,-38.05,-71.316667,10039,2124.6,Biobío
Alto del Carmen,-28.759444,-70.486667,5488,5939,Atacama
Alto Hospicio,-20.2686722,-70.1049169,94455,572.9,Tarapacá
Ancud,-41.8675003,-73.8276965,41960,1752.4,Los Lagos
Andacollo,-30.2357949,-71.0828027,11116,310,Coquimbo
Angol,-37.8060734,-72.7038047,51136,1194.4,La Araucanía
Antofagasta,-23.6509279,-70.3975022,348669,30718.1,Antofagasta
Antuco,-37.3313164,-71.6764277,3774,1884.1,Biobío
Arauco,-37.2457765,-73.3166644,41153,956.1,Biobío
Arica,-18.4782534,-70.3125988,210936,4799.4,Arica y Parinacota
Aysén,-45.0070278,-72.5102888,27187,29796.4,Aisén del General Carlos Ibáñez del Campo
Buin,-33.7309374,-70.7423218,74232,214,Metropolitana de Santiago
Bulnes,-36.7421593,-72.3017718,21542,425.4,Biobío
Cabildo,-32.4258064,-71.0661621,21094,1455,Valparaiso
Cabo de Hornos,-54.933333,-67.616667,1677,15578.7,Magallanes y de la Antártica Chilena
Cabrero,-37.0332999,-72.4,29532,639.8,Biobío
Calama,-22.4543923,-68.9293819,147886,15596.9,Antofagasta
Calbuco,-41.7720156,-73.1327093,34902,590.8,Los Lagos
Caldera,-27.0667,-70.8178142,16150,4666.6,Atacama
Calera de Tango,-33.6291031,-70.7686968,27781,73.3,Metropolitana de Santiago
Calle Larga,-32.857493,-70.6258069,11110,321.7,Valparaiso
Camarones,-19.0111932,-69.8654656,679,3927,Arica y Parinacota
Camiña,-19.3116281,-69.4298687,1156,2200.2,Tarapacá
Canela,-31.398889,-71.456111,9182,2196.6,Coquimbo
Cañete,-37.8058201,-73.3919739,33535,1089.2,Biobío
Carahue,-38.7088593,-73.1678812,25718,1340.6,La Araucanía
Cartagena,-33.5482466,-71.6045745,17029,246,Valparaiso
Casablanca,-33.3190376,-71.4076318,25165,953,Valparaiso
Castro,-42.4801402,-73.7624137,50764,472.5,Los Lagos
Catemu,-32.7788041,-70.9627036,13902,361.6,Valparaiso
Cauquenes,-35.9676285,-72.3222331,40245,2216,Maule
Cerrillos,-33.5041325,-70.7108995,79195,21,Metropolitana de Santiago
Cerro Navia,-33.4216593,-70.7346887,128090,11,Metropolitana de Santiago
Chaitén,-42.9167,-72.7167,7122,8470.5,Los Lagos
Chañaral,-29.033333,-71.433333,14146,5772,Atacama
Chanco,-35.7333,-72.5333,9571,530,Maule
Chépica,-34.7255387,-71.2725925,15820,503,'Libertador General Bernardo O''Higgins'
Chiguayante,-36.9532166,-73.017378,115366,71.5,Biobío
Chile Chico,-46.5409005,-71.7222795,5334,5737.1,Aisén del General Carlos Ibáñez del Campo
Chillán,-36.6062618,-72.1023351,175585,511.2,Biobío
Chillán Viejo,-36.6291031,-72.1397968,29199,291.8,Biobío
Chimbarongo,-34.70924,-71.0412713,35664,498,'Libertador General Bernardo O''Higgins'
Cholchol,-38.6005906,-72.8411406,10825,427.9,La Araucanía
Chonchi,-42.6232593,-73.7738499,14639,1362.1,Los Lagos
Cobquecura,-36.1386156,-72.7945218,5173,570.3,Biobío
Cochamó,-41.4923218,-72.3084312,4326,3910.8,Los Lagos
Cochrane,-47.2535728,-72.5729823,2759,8599.5,Aisén del General Carlos Ibáñez del Campo
Codegua,-34.0370319,-70.6728641,12725,287,'Libertador General Bernardo O''Higgins'
Coelemu,-36.4833,-72.7,15461,342.3,Biobío
Coihueco,-36.6291031,-71.8327093,24714,1776.6,Biobío
Coínco,-34.2661579,-70.9593417,7248,98,'Libertador General Bernardo O''Higgins'
Colbún,-35.699248,-71.4146915,19361,2900,Maule
Colchane,-19.7,-68.8833,1384,4015.6,Tarapacá
Colina,-33.2044597,-70.6758505,113340,971.2,Metropolitana de Santiago
Collipulli,-37.9582687,-72.4321187,21705,1295.9,La Araucanía
Coltauco,-34.2877978,-71.0855512,17620,225,'Libertador General Bernardo O''Higgins'
Combarbalá,-31.1790967,-71.0050958,13818,2257.5,Coquimbo
Concepción,-36.8201352,-73.0443904,227768,221.6,Biobío
Conchalí,-33.3846893,-70.6800213,121118,10.7,Metropolitana de Santiago
Concón,-32.9239368,-71.5234793,63210,76,Valparaiso
Constitución,-35.3333,-72.4167,41416,1344,Maule
Contulmo,-38.0149266,-73.2292878,5188,638.8,Biobío
Copiapó,-27.3665763,-70.3321587,158261,16681.3,Atacama
Coquimbo,-29.9590009,-71.3389183,202441,1429,Coquimbo
Coronel,-37.0340769,-73.1404838,107508,279.4,Biobío
Corral,-39.8885744,-73.4315987,5084,767,Los Ríos
Coyhaique,-45.5712254,-72.068265,59221,7290.2,Aisén del General Carlos Ibáñez del Campo
Cunco,-38.9320562,-72.0279843,19024,1906.5,La Araucanía
Curacautín,-38.4401849,-71.8876695,15728,1664,La Araucanía
Curacaví,-33.3977192,-71.1275212,28439,693,Metropolitana de Santiago
Curaco de Vélez,-42.4405468,-73.6037069,3884,80,Los Lagos
Curanilahue,-37.4762431,-73.3421243,33855,994.3,Biobío
Curarrehue,-39.3616465,-71.5890276,7540,1170.7,La Araucanía
Curepto,-35.0958545,-72.0208891,9714,1073.8,Maule
Curicó,-34.9779853,-71.2528803,177766,1328,Maule
Diego de Almagro,-26.3902488,-70.0475302,16452,18664,Atacama
Doñihue,-34.228986,-70.9579288,21023,78,'Libertador General Bernardo O''Higgins'
El Bosque,-33.5630463,-70.6752134,162671,14.2,Metropolitana de Santiago
El Carmen,-36.9,-72.0333,11830,664.3,Biobío
El Monte,-33.6815281,-70.9853968,32468,118,Metropolitana de Santiago
El Quisco,-33.398596,-71.6981538,15829,51,Valparaiso
El Tabo,-33.4557162,-71.6669341,11861,99,Valparaiso
Empedrado,-35.589943,-72.2763046,4250,565,Maule
Ercilla,-38.0553156,-72.3833,9148,499.7,La Araucanía
Estación Central,-33.4590774,-70.6990045,119292,15,Metropolitana de Santiago
Florida,-36.8237875,-72.6684718,9867,608.6,Biobío
Freire,-38.9573,-72.6269289,27616,935.2,La Araucanía
Freirina,-28.512094,-71.0795967,6531,3207,Atacama
Fresia,-41.15,-73.4163343,12454,1278.1,Los Lagos
Frutillar,-41.116667,-73.05,17756,831.4,Los Lagos
Futaleufú,-43.1833,-71.8667,1836,1280,Los Lagos
Futrono,-40.1245411,-72.3808496,15811,2267.5,Los Ríos
Galvarino,-38.4088593,-72.7821187,11324,568.2,La Araucanía
General Lagos,-17.6533,-69.6347,739,2244.4,Arica y Parinacota
Gorbea,-39.1005597,-72.67636,15481,694.5,La Araucanía
Graneros,-34.0666916,-70.7325646,30372,113,'Libertador General Bernardo O''Higgins'
Hijuelas,-32.7980018,-71.1437211,19132,267,Valparaiso
Hualaihué,-42.0216398,-72.6891622,8426,2787.7,Los Lagos
Hualañé,-34.9725157,-71.7993371,9977,629,Maule
Hualpén,-36.7866757,-73.1099531,86176,53.5,Biobío
Hualqui,-36.9737875,-72.9368437,21934,530.5,Biobío
