idEla,lat,lng,comuna,fecha
3,\N,\N,Viña del Mar,2016-05-28 12:30:00
8,\N,\N,Macul,2016-05-21 15:00:00
9,\N,\N,Nancagua,2016-06-20 18:00:00
11,\N,\N,Ñuñoa,2016-06-24 18:30:00
12,\N,\N,Ovalle,2016-06-16 18:30:00
13,\N,\N,Curicó,2016-06-26 13:00:00
14,-45.8079098,-71.9175596,Coyhaique,2016-06-11 16:00:00
16,\N,\N,Copiapó,2016-06-17 19:00:00
17,\N,\N,Copiapó,2016-06-10 14:00:00
19,-33.0394096,-71.5993108,Valparaíso,2016-06-17 14:00:00
20,\N,\N,Santiago,2016-06-04 16:00:00
24,\N,\N,Puente Alto,2016-06-21 17:30:00
29,\N,\N,Río Negro,2016-06-19 17:00:00
31,-30.6043916,-71.2000671,Ovalle,2016-06-23 16:00:00
33,\N,\N,Vallenar,2016-06-17 16:30:00
35,\N,\N,Santiago,2016-06-18 14:00:00
36,\N,\N,Coyhaique,2016-06-03 17:00:00
43,\N,\N,Antofagasta,2016-06-19 09:21:00
46,\N,\N,Conchalí,2016-06-11 10:00:00
48,\N,\N,Puente Alto,2016-06-27 15:00:00
54,\N,\N,Talca,2016-06-06 14:30:00
55,\N,\N,La Reina,2016-05-22 17:00:00
56,\N,\N,Los Andes,2016-06-14 10:00:00
57,\N,\N,Santiago,2016-06-23 17:00:00
58,-35.5969963,-71.7244368,San Javier,2016-06-09 11:29:00
59,\N,\N,Puente Alto,2016-06-17 21:15:00
61,\N,\N,Lanco,2016-06-18 15:00:00
63,-23.6653225,-70.4032125,Antofagasta,2016-06-24 16:30:00
65,\N,\N,Coihueco,2016-05-28 10:02:00
66,\N,\N,Cauquenes,2016-06-16 17:30:00
67,-33.420253,-70.7269153,Cerro Navia,2016-06-12 15:00:00
68,\N,\N,La Reina,2016-06-04 15:00:00
70,\N,\N,Los Andes,2016-04-25 12:48:00
72,\N,\N,Puente Alto,2016-06-21 17:00:00
74,\N,\N,Providencia,2016-06-12 14:30:00
75,\N,\N,Puyehue,2016-06-27 11:00:00
76,\N,\N,San Antonio,2016-06-12 15:00:00
77,\N,\N,Colina,2016-06-03 17:00:00
78,\N,\N,San Javier,2016-06-28 20:00:00
79,\N,\N,Temuco,2016-06-28 19:00:00
80,\N,\N,Arica,2016-05-27 20:30:00
81,\N,\N,Molina,2016-06-22 19:30:00
82,-33.4414281,-70.5596019,La Reina,2016-06-04 16:30:00
85,\N,\N,Viña del Mar,2016-06-04 16:00:00
86,\N,\N,La Serena,2016-06-26 18:00:00
