idEla,lat,lng,comuna,fecha,link,participantes
3,\N,\N,"Viña del Mar","2016-05-28 12:30:00",3022,"F:26,F:32,F:33,F:38,F:40,F:44,F:54,M:26,M:29,M:29,M:30,M:42,M:57,M:60"
8,\N,\N,"Macul","2016-05-21 15:00:00",1461,"F:31,F:41,F:44,F:51,F:58,F:62,F:68,F:68,F:70,F:70,F:72,F:72,F:74,F:77,M:31,M:34,M:65,M:65,M:66,M:69,M:71"
9,\N,\N,"Nancagua","2016-06-20 18:00:00",10264,"F:15,F:21,F:25,F:27,F:31,F:35,F:36,F:40,F:43,F:55,M:16,M:33,M:49"
11,\N,\N,"Ñuñoa","2016-06-24 18:30:00",6987,"F:37,F:38,F:39,F:42,F:42,F:49,M:41,M:42,M:42,M:45,M:48"
12,\N,\N,"Ovalle","2016-06-16 18:30:00",5655,"F:16,F:26,F:28,F:41,F:42,F:43,F:49,F:53,M:20,M:27"
13,\N,\N,"Curicó","2016-06-26 13:00:00",12310,"F:28,F:35,F:45,F:50,F:54,M:31,M:35,M:47,M:48,M:56,M:146"
14,-45.8079098,-71.9175596,"Coyhaique","2016-06-11 16:00:00",4935,"F:15,F:24,F:28,F:28,F:36,F:43,F:45,F:45,F:45,F:62,M:30,M:62"
16,\N,\N,"Copiapó","2016-06-17 19:00:00",10657,"F:27,F:36,F:46,F:47,F:47,F:65,M:15,M:45,M:49,M:72"
17,\N,\N,"Copiapó","2016-06-10 14:00:00",5939,"F:19,F:19,F:19,F:19,F:20,F:20,F:20,F:20,F:21,F:21,F:21,F:21,F:21,F:21,F:22,F:24,M:25"
19,-33.0394096,-71.5993108,"Valparaíso","2016-06-17 14:00:00",7715,"F:19,F:25,F:27,F:27,F:30,F:31,F:36,F:36,F:45,F:64,M:26"
20,\N,\N,"Santiago","2016-06-04 16:00:00",5190,"F:29,F:65,F:70,F:73,F:75,F:79,F:79,M:36,M:69,M:75,M:82"
24,\N,\N,"Puente Alto","2016-06-21 17:30:00",10951,"F:35,F:40,F:43,F:45,F:63,M:29,M:31,M:32,M:32,M:39,M:39,M:41,M:45,M:52,M:54"
29,\N,\N,"Río Negro","2016-06-19 17:00:00",9955,"F:48,F:50,F:59,F:67,M:43,M:46,M:64,M:65,M:67,M:70,M:73"
31,-30.6043916,-71.2000671,"Ovalle","2016-06-23 16:00:00",12454,"F:30,F:31,F:32,F:38,F:40,F:42,F:51,F:51,F:51,F:61,F:62,F:74,M:52"
33,\N,\N,"Vallenar","2016-06-17 16:30:00",8735,"F:17,F:17,F:17,F:18,F:18,F:19,F:19,F:19,F:19,M:16,M:17,M:18,M:19,M:19"
35,\N,\N,"Santiago","2016-06-18 14:00:00",2591,"F:18,F:22,F:23,F:23,F:23,F:31,M:20,M:21,M:21,M:22,M:22,M:22,M:24,M:25,M:58"
36,\N,\N,"Coyhaique","2016-06-03 17:00:00",1208,"F:34,F:36,F:39,F:40,F:41,M:34,M:35,M:36,M:40,M:45,M:52"
43,\N,\N,"Antofagasta","2016-06-19 09:21:00",9813,"F:27,F:27,F:42,F:47,F:47,F:47,F:49,F:50,F:52,F:54,F:58,F:58,F:75,M:31,M:31,M:54,M:56,M:62"
46,\N,\N,"Conchalí","2016-06-11 10:00:00",8172,"F:20,F:56,M:18,M:20,M:22,M:37,M:42,M:51"
48,\N,\N,"Puente Alto","2016-06-27 15:00:00",15012,"F:15,F:20,F:24,F:26,F:27,F:51,F:52,M:20,M:52,M:55"
54,\N,\N,"Talca","2016-06-06 14:30:00",5974,"F:30,F:43,F:61,F:72,F:73,F:76,F:80,F:82,F:85,M:49,M:57,M:63,M:70,M:73,M:76,M:76,M:79,M:80,M:84,M:85,M:86,M:87,M:92"
